image_id,interpretability_rating_phd_res1,interpretability_rating_phd_res2,mean_rating
112,2.0,3.0,2.5
126,2.0,3.0,2.5
139,4.0,2.0,3.0
148,3.0,3.0,3.0
149,3.0,2.0,2.5
152,3.0,2.0,2.5
184,2.0,2.0,2.0
188,3.0,2.0,2.5
196,3.0,4.0,3.5
203,2.0,3.0,2.5
213,1.0,2.0,1.5
220,3.0,4.0,3.5
236,2.0,3.0,2.5
242,1.0,3.0,2.0
290,3.0,2.0,2.5
292,3.0,1.0,2.0
297,4.0,2.0,3.0
304,2.0,3.0,2.5
317,2.0,3.0,2.5
324,4.0,1.0,2.5
330,3.0,3.0,3.0
332,4.0,1.0,2.5
337,2.0,4.0,3.0
339,3.0,4.0,3.5
380,3.0,3.0,3.0
407,3.0,5.0,4.0
413,2.0,1.0,1.5
433,4.0,3.0,3.5
436,5.0,2.0,3.5
442,2.0,3.0,2.5
447,1.0,3.0,2.0
491,4.0,5.0,4.5
492,3.0,4.0,3.5
494,2.0,4.0,3.0
497,3.0,3.0,3.0
502,5.0,4.0,4.5
547,3.0,3.0,3.0
572,3.0,4.0,3.5
604,3.0,4.0,3.5
610,2.0,1.0,1.5
614,3.0,5.0,4.0
639,3.0,4.0,3.5
643,3.0,3.0,3.0
650,5.0,2.0,3.5
658,4.0,4.0,4.0
660,4.0,5.0,4.5
676,3.0,4.0,3.5
690,2.0,3.0,2.5
736,3.0,4.0,3.5
754,2.0,3.0,2.5
758,3.0,3.0,3.0
765,4.0,3.0,3.5
790,2.0,2.0,2.0
828,1.0,3.0,2.0
839,3.0,2.0,2.5
846,2.0,1.0,1.5
859,4.0,4.0,4.0
869,2.0,1.0,1.5
882,2.0,5.0,3.5
898,2.0,1.0,1.5
904,4.0,3.0,3.5
909,3.0,3.0,3.0
920,3.0,1.0,2.0
937,2.0,4.0,3.0
950,2.0,3.0,2.5
994,3.0,4.0,3.5
998,2.0,3.0,2.5
999,4.0,4.0,4.0
1006,2.0,2.0,2.0
1011,1.0,1.0,1.0
1044,2.0,5.0,3.5
1068,1.0,1.0,1.0
1081,2.0,4.0,3.0
1087,4.0,1.0,2.5
1100,3.0,4.0,3.5
1112,1.0,2.0,1.5
1143,5.0,1.0,3.0
1146,3.0,4.0,3.5
1153,2.0,1.0,1.5
1177,4.0,2.0,3.0
1178,4.0,3.0,3.5
1192,2.0,3.0,2.5
1205,3.0,3.0,3.0
1206,3.0,4.0,3.5
1214,3.0,3.0,3.0
1215,2.0,2.0,2.0
1225,4.0,2.0,3.0
1232,2.0,5.0,3.5
1246,4.0,2.0,3.0
1251,3.0,3.0,3.0
1277,4.0,2.0,3.0
1285,4.0,1.0,2.5
1294,2.0,4.0,3.0
1295,4.0,1.0,2.5
1301,3.0,3.0,3.0
1303,4.0,2.0,3.0
1326,1.0,2.0,1.5
1388,4.0,4.0,4.0
2364,4.0,2.0,3.0
1400,3.0,3.0,3.0
1428,2.0,1.0,1.5
1439,2.0,2.0,2.0
1453,2.0,3.0,2.5
1465,2.0,2.0,2.0
1499,3.0,4.0,3.5
1503,2.0,2.0,2.0
1510,3.0,3.0,3.0
1519,2.0,3.0,2.5
1576,2.0,2.0,2.0
1581,2.0,4.0,3.0
1601,5.0,5.0,5.0
1615,3.0,4.0,3.5
1626,3.0,2.0,2.5
1633,4.0,4.0,4.0
1659,3.0,2.0,2.5
1697,3.0,2.0,2.5
1711,3.0,3.0,3.0
1712,3.0,4.0,3.5
1715,2.0,3.0,2.5
1718,2.0,2.0,2.0
1726,2.0,5.0,3.5
1748,3.0,1.0,2.0
1750,1.0,2.0,1.5
1751,2.0,2.0,2.0
1755,3.0,3.0,3.0
1757,3.0,3.0,3.0
1761,2.0,4.0,3.0
1777,3.0,2.0,2.5
1779,5.0,4.0,4.5
1790,2.0,4.0,3.0
1802,2.0,2.0,2.0
1803,5.0,4.0,4.5
1818,5.0,5.0,5.0
1821,4.0,4.0,4.0
1838,2.0,3.0,2.5
1839,5.0,4.0,4.5
1861,2.0,3.0,2.5
1874,4.0,4.0,4.0
1894,2.0,2.0,2.0
1911,3.0,4.0,3.5
1915,5.0,4.0,4.5
1917,2.0,3.0,2.5
1925,5.0,5.0,5.0
1945,2.0,3.0,2.5
1946,2.0,3.0,2.5
1947,3.0,3.0,3.0
1953,5.0,2.0,3.5
1963,2.0,3.0,2.5
1979,2.0,3.0,2.5
2007,2.0,2.0,2.0
2008,4.0,5.0,4.5
2016,2.0,3.0,2.5
2018,3.0,3.0,3.0
2025,2.0,2.0,2.0
2049,2.0,2.0,2.0
2050,5.0,2.0,3.5
2052,3.0,2.0,2.5
2054,2.0,4.0,3.0
2060,1.0,3.0,2.0
2061,1.0,3.0,2.0
2062,2.0,3.0,2.5
2064,1.0,4.0,2.5
2065,5.0,3.0,4.0
2071,2.0,3.0,2.5
2074,2.0,1.0,1.5
2103,2.0,1.0,1.5
2105,2.0,2.0,2.0
2117,3.0,1.0,2.0
2124,2.0,3.0,2.5
2125,2.0,3.0,2.5
2138,2.0,3.0,2.5
2141,4.0,2.0,3.0
2152,2.0,3.0,2.5
2163,3.0,4.0,3.5
2194,2.0,1.0,1.5
2211,3.0,3.0,3.0
2213,2.0,3.0,2.5
2215,2.0,4.0,3.0
2218,1.0,1.0,1.0
2220,1.0,4.0,2.5
2223,4.0,4.0,4.0
2251,2.0,3.0,2.5
1749,2.0,2.0,2.0
2253,1.0,3.0,2.0
2254,3.0,2.0,2.5
2262,2.0,2.0,2.0
2271,2.0,3.0,2.5
2276,1.0,4.0,2.5
2289,1.0,5.0,3.0
2293,3.0,2.0,2.5
2300,2.0,4.0,3.0
2327,1.0,4.0,2.5
2348,1.0,3.0,2.0
2354,1.0,3.0,2.0
2356,5.0,4.0,4.5
2357,2.0,4.0,3.0
2360,2.0,4.0,3.0
1845,2.0,4.0,3.0
1949,2.0,2.0,2.0
2028,3.0,4.0,3.5
