reason_id,image_id,rating,reason,feature,sentiment
29,436,4,the graph should have a key,Labels-Titles-Legend-Scale,negative
56,937,4,the x-y labels and titles are hard to read.,Labels-Titles-Legend-Scale,negative
78,1295,1,"The chart does mention the error region, it is not clear about the range of the confidence interval or why is it kept with different colors",Labels-Titles-Legend-Scale,negative
121,112,4,The design and clarity can be improved. The design clarity can be improved,Aesthetics-Clarity-Comparison,negative
136,380,4,does not provide the clear takeaway,Aesthetics-Clarity-Comparison,negative
144,447,3,The labels are not clear,Labels-Titles-Legend-Scale,negative
151,614,4,It is difficult to grasp the key points since there are too many words on the chart,Visual Density / Clutter,negative
157,643,4,"Too many categories are present in the chart, but they are well organized and labeled Too many categories are present in the chart, they are well organized labeled",Visual Density / Clutter,negative
164,736,4,the graphs a little unclear hard to read,Aesthetics-Clarity-Comparison,negative
166,828,4,Overlapping lines makes it difficult to interpret But the annual mean is shown which helps Overlapping lines makes it difficult to interpret But the annual mean is shown which helps,Visual Density / Clutter,negative
176,1006,2,the graph is very hard to read tell the difference between the many labels,Labels-Titles-Legend-Scale,negative
182,1301,4,The graph some labels are small,Labels-Titles-Legend-Scale,negative
190,1453,4,The chart conveys the main takeaway but the multiple components and no legend for the different symbols and colors found in the chart make it a little hard to interpret The chart conveys the main takeaway the multiple components no legend for the different symbols colors found in the chart make it a little hard to interpret,Aesthetics-Clarity-Comparison,negative
205,1715,4,Multiple panels and detailed context add complexity making it somewhat confusing Multiple panels,Visual Density / Clutter,negative
220,1777,4,The visualization includes multiple panels for different regions and periods. The use of these panels adds to the complexity The visualization includes multiple panels for different regions periods The use of these panels adds to the complexity,Chart Type & Layout Choice,negative
224,1790,4,"the graph labels ranges are very small, so it is hard to tell what value they correlate to",Labels-Titles-Legend-Scale,negative
228,1861,3,"The chart does seem to use some symbols like triangle, circle that are not fully explained within the visualization itself and require very large caption.",Labels-Titles-Legend-Scale,negative
232,1894,4,"The chart has annotations and different comparison lines making it harder to quickly understand the main takeaway. The use of specific scientific terms might not be immediately clear to everyone. The addition of the error bars also adds another layer of information, which can complicate the overall interpretation The chart has annotations different comparison lines making it harder to quickly understand the main takeaway The use of specific scientific terms might not be immediately clear to everyone The addition of the error bars also adds another layer of information, which can complicate the overall interpretation",Aesthetics-Clarity-Comparison,negative
255,2054,4,the color scale in the chart is little bit confusing,Labels-Titles-Legend-Scale,negative
259,2071,4,"There is no legend present in the chart, making it difficult to understand what each color means. Each panel presents data using different symbols and colors to represent the different measurements. However, the complexity of the data can make it somewhat challenging to graph the main trends There is no legend present in the chart, making it difficult to understand what each color means Each panel presents data using different symbols colors to represent the different measurements However, the complexity of the data can make it somewhat challenging to graph the main trends",Labels-Titles-Legend-Scale,negative
262,2271,4,"The chart has a clear representation with 2 panels, but each panel uses different line styles and bard to represent the different datasets However, this adds more complexity to the interpretation of the chart The chart has a clear representation with 2 panels, each panel uses different line styles bard to represent the different datasets However, this adds more complexity to the interpretation of the chart",Chart Type & Layout Choice,negative
280,184,3,the different colored line don't have a clear definition,Labels-Titles-Legend-Scale,negative
295,754,3,overlapping lines adds more complexity,Visual Density / Clutter,negative
298,1011,3,multiple bars no legend for the colors of the bars makes it somewhat confusing,Labels-Titles-Legend-Scale,negative
301,1143,3,"Overlapping data and no legend found in the graph, this makes it difficult to fully understand the main takeaway ",Visual Density / Clutter,negative
304,1215,3,"The chart presents various categories using box plots, symbols like diamonds and individual data points. The graphs uses colors and symbols which adds complexity Visual elements make it somewhat confusing. The chart presents various categories using box plots, symbols like diamonds individual data points. The graphs uses colors symbols which adds complexity it takes time to understand. Visual elements make it somewhat confusing",Aesthetics-Clarity-Comparison,negative
307,1439,3,The chart uses different symbols and color to represent various ranges The chart uses different symbols color to represent various ranges While the legend lines can be a little confusing to interpret at first glance,Labels-Titles-Legend-Scale,negative
311,213,2,the graph is hard to read,Aesthetics-Clarity-Comparison,negative
313,236,2,Difficult  to interpret the representation of temperature projections,Aesthetics-Clarity-Comparison,negative
