reason_id_x,image_id,rating_x,reason_x,feature_x,sentiment_x,reason_id_y,rating_y,reason_y,feature_y,sentiment_y
1,139,5,Easy to compare categories,Aesthetics-Clarity-Comparison,positive,2,4,The takeaway is not very clear,Aesthetics-Clarity-Comparison,negative
4,148,5,Easy to compare stabilization categories,Aesthetics-Clarity-Comparison,positive,6,3,"Chart is dense, uses technical terms",Visual Density / Clutter,negative
7,203,5,Easy to compare ranges of yield change,Aesthetics-Clarity-Comparison,positive,8,4,The graph is hard to extract information from,Visual Density / Clutter,negative
13,2360,5,Easy to interpret the chart and see the main trends without looking at the caption. Easy to interpret the chart,Aesthetics-Clarity-Comparison,positive,14,4,the graph should have a key explaining the solid dotted line difference,Labels-Titles-Legend-Scale,negative
19,332,5,Easy to read labels and compare the categories to understand the relationship between capacity factor and investment costs ,Labels‑Titles‑Legend‑Scale,positive,20,4,the labels on the graph could be differentiated more,Labels-Titles-Legend-Scale,negative
25,339,5,a clear chart makes it easy to understand the main trend,Aesthetics-Clarity-Comparison,positive,26,4,Hard to interpret what the symbols are representing on y-axis,Labels-Titles-Legend-Scale,negative
31,497,5,Easy to compare the onshore and offshore categories Easy to compare the onshore offshore categories,Aesthetics-Clarity-Comparison,positive,33,3,"The chart does not show the trend clearly, and only explain about the labels. ",Trend / Pattern Depiction,negative
40,610,5,"The chart has color coding, it is well-organized . The chart has color coding, it is well-organized",Labels‑Titles‑Legend‑Scale,positive,640,2,"chart does not include legend
",Labels-Titles-Legend-Scale,negative
43,660,5,The graph uses colors to represent 3 different categories making it easy to follow each line,Labels‑Titles‑Legend‑Scale,positive,44,4,The graph is a little hard to read,Aesthetics-Clarity-Comparison,negative
61,999,5,Clear takeaway easy to interpret,Aesthetics-Clarity-Comparison,positive,63,4,"chart to interpret the takeaway, the line is clearly not mentioned in the chart",Aesthetics-Clarity-Comparison,negative
70,1277,5,The legend further helps in understanding the main takeaway. The words on the side explaining the y-axis is cut off. The words on the side explaining the y-axis is cut off The legend further helps in understanding the main takeaway,Labels-Titles-Legend-Scale,positive,71,4,the labels are not visible,Labels-Titles-Legend-Scale,negative
73,1285,5,The chart shows the time series of the global annual ocean with color-code lines for different categories . The clear labels from the average time periods help in understanding the main trend The chart shows the time series of the global annual ocean with color-code lines for different categories data source The clear labels from the average time periods help in understanding the main trend,Trend / Pattern Depiction,positive,75,1,"The chart does mention the error region, it is not clear about the range of the confidence interval or why is it kept with different colors",Labels-Titles-Legend-Scale,negative
85,1711,5,Easy to compare the categories,Aesthetics-Clarity-Comparison,positive,86,4,the graph labels are small,Labels-Titles-Legend-Scale,negative
118,2218,5,Easy to compare the categories and see the main trends Easy to compare the categories see the main trends,Aesthetics-Clarity-Comparison,positive,119,4,the graph labels are unclear,Labels-Titles-Legend-Scale,negative
127,304,4,The chart provides useful information to understand the data,Aesthetics-Clarity-Comparison,positive,128,3,the labels are hard to read on the graph,Labels-Titles-Legend-Scale,negative
140,433,5,The graph is easy to understand,Aesthetics-Clarity-Comparison,positive,139,4,No legend included,Labels-Titles-Legend-Scale,negative
179,1044,5,the colors are clear on the graph,Labels-Titles-Legend-Scale,positive,178,4,"Too many lines and shaded regions makes the chart more complicated, Too many lines shaded regions makes the chart more complicated,",Visual Density / Clutter,negative
187,1428,4,"The chart effectively shows the ranges of lifecycle GHG emissions for various fuel categories using different patterns. The use of multiple sources makes the chart somewhat clutters, but it is interpretable The chart effectively shows the ranges of lifecycle GHG emissions for various fuel categories using different patterns The use of multiple sources makes the chart somewhat clutters, it is interpretable",Aesthetics-Clarity-Comparison,positive,189,1,bars inside the chart is little confusing,Labels-Titles-Legend-Scale,negative
193,1499,4,the graph includes a legend and it is somewhat easy to understand the errors bars. the graph includes a legend it is somewhat easy to understand the errors bars This visualization effectively shows the differences between the categories,Aesthetics-Clarity-Comparison,positive,195,4,The black lines are not fully mentioned in chart but could be infered as error lines,Aesthetics-Clarity-Comparison,negative
199,1626,4,"Clear representation with some complexity, no legend is present in the graph, making it somewhat interpretable You can see the overall trend by looking at the regression line and the r^2 Clear representation with some complexity, no legend is present in the graph, making it somewhat interpretable You can see the overall trend by looking at the regression line the r^2",Aesthetics-Clarity-Comparison,positive,201,2,The labels are not mentioned in the chart,Labels-Titles-Legend-Scale,negative
