reason_id_x,image_id,rating_x,reason_useful,usefulness_x,feature_x,reason_id_y,rating_y,reason_not_useful,usefulness_y,feature_y,caption,expertise_useful,expertise_not_useful
16,324,5,Caption summarizes the main trend,useful,Clear and Good Quality,17,5,the caption can do better at explaining the trend,not_useful,Observed Pattern Not Explained,"Figure 9.17: Simple model results: Temperature change (a) from 1990 to 2100 and (b) from 1990 to 2350, resulting from the five WRE 
stabilisation profiles, using the simple climate model tuned to different AOGCMs as indicated on the bottom axis. (c) and (d) show the 
corresponding results for the four S profiles. The underlying assumptions are the same as those for Figure 9.15. For comparison, temperature
changes for the base scenario A1B are also shown in (a) and (c). ",ug,
22,337,5,Detailed caption that provides the main key takeaway,useful,**Clear and Good Quality**,623,2,Caption is too long,not_useful,"""Detailed but Overloaded with Information""","Figure 5.2 Cumulative emissions reductions for alternative mitigation measures for 2000-2030 (left-hand panel) and for 2000-2100 (right-hand panel). The
figure shows illustrative scenarios from four models (AIM, IMAGE, IPAC and MESSAGE) aiming at the stabilisation at low (490 to 540ppm CO2-eq) and
intermediate levels (650ppm CO2-eq) respectively. Dark bars denote reductions for a target of 650ppm CO2-eq and light bars denote the additional reduc-
tions to achieve 490 to 540ppm CO2-eq. Note that some models do not consider mitigation through forest sink enhancement (AIM and IPAC) or CCS (AIM)
and that the share of low-carbon energy options in total energy supply is also determined by inclusion of these options in the baseline. CCS includes CO2
capture and storage from biomass. Forest sinks include reducing emissions from deforestation. The figure shows emissions reductions from baseline
scenarios with cumulative emissions between 6000 to 7000 GtCO2-eq (2000-2100). {WGIII Figure SPM.9}",,
28,436,5,detailed caption that includes the symbols and lines (shown in chart) Clear representations with detailed caption that includes the symbols,useful,"""Detailed and Informative""",30,2,"The chart and caption does not mention about the extra dots between the years, where caption specifies it as annual mean, but not clear",not_useful,Insufficient or Unclear Description,"Figure 4.9. Summer minimum arctic sea ice extent from 1979 to 2005. Symbols 
indicate annual mean values while the smooth blue curve shows decadal variations 
(see Appendix 3.A). The dashed line indicates the linear trend, which is -60 +- 
20 x 103 km2 yr-1, or approximately -7.4% per decade (updated from Comiso, 
2002).",,phd
52,920,5,caption summarizes the main trend,useful,"""Clear and Good Quality""",54,1,The caption does not mention the goal of the chart/ takeaway. It mentions what is mentioned in the charts,not_useful,"""Missing or Unclear Takeaway Message""","Figure 9.6 | Energy imports as the share of total primary energy consumption (%) for coal (hard coal and lignite), crude oil and natural gas for selected world regions in 2008. Negative 
values denote net exporters of energy carriers. Based on BGR (2009).",,phd
70,1277,5,the caption provides good details to interpret the graph,useful,Detailed and Informative,72,2,"Require caption just to read the y-axis label, there are no clear takeaway mentioned",not_useful,"""Insufficient or Unclear Description""","Figure 7.24 | Global primary energy supply of wind energy in long-term scenarios 
(median, 25th to 75th percentile range, and full range of scenario results; colour coding is 
based on categories of atmospheric CO2 concentration level in 2100; the specifi c number 
of scenarios underlying the fi gure is indicated in the right upper corner) (adapted from 
Krey and Clarke, 2011; see also Chapter 10).",,phd
79,1303,5,The captions explains the main trend and the graph is easy to interpret The captions explains the main trend,useful,**Clear and Good Quality**,696,4,"The main takeaway is missing in the caption, so it does not help in the interpretation of the that much",not_useful,Missing or Unclear Takeaway Message,"Figure 5.19: Co-benefits from different mitigation measures in Santiago de Chile
Note: toll is applied for cars/busses to enter downtown area or inside the 
Americo Vespucio ring around the city.",,
90,1712,4,"Caption provides useful context about the data and methodology, it is somewhat dense and does not clearly summarize the main takeaway.",useful,"""Missing or Unclear Takeaway Message""",718,3,The caption does not contain context necessary to understand the trend observed. Caption does not describe the trend,not_useful,"""Insufficient or Unclear Description""","Figure 13.2: Ocean heat content changes from 1960 to 2015 for different ocean basins for 0 to 2,000 m depths. Time 
series is relative to the 1997-1999 base period and smoothed by a 12-month running filter by Cheng et al.6 The curves 
are additive, and the ocean heat content changes in different ocean basins are shaded in different colors (Figure 
source: Cheng et al. 20176).",phd,
103,1839,5,The caption also provides detailed context about the source data,useful,Detailed and Informative,105,4,Caption represent some details but not fully summarize the trend,not_useful,Insufficient or Unclear Description,"Figure 7.5. The difference between CO2 concentration in the NH and SH (y axis), 
computed as the difference between annual mean concentrations (ppm) at Mauna 
Loa and the South Pole (Keeling and Whorf, 2005, updated), compared with annual 
fossil fuel emissions (x axis; GtC; Marland, et al., 2006), with a line showing the best 
fi t. The observations show that the north-south difference in CO2 increases propor-
tionally with fossil fuel use, verifying the global impact of human-caused emissions.",,
109,2062,5,"Although the caption is long, it expands on each of the studies making it easier to understand the main takeaway",useful,Detailed but Overloaded with Information,111,3,caption does mention the terms it does not mention any takeaway message,not_useful,Missing or Unclear Takeaway Message,"Figure 2.9. Calculated RF due to tropospheric ozone change since pre-industrial time based on 
CTM and GCM model simulations published since the TAR. Estimates with GCMs including the effect 
of climate change since 1750 are given by orange bars (Adjusted RF, CC). Studies denoted with an 
(*) give only the instantaneous RF in the original publications. Stratospheric-adjusted RFs for these 
are estimated by reducing the instantaneous RF (indicated by the dashed bars) by 20%. The instan-
taneous RF from Mickley et al. (2001) is reported as an adjusted RF in Gauss et al. (2006). ACCENT 
models include ULAQ: University of L'Aquila; DLR_E39C: Deutsches Zentrum fur Luft- und Raumfahrt 
European Centre Hamburg Model; NCAR_MACCM: National Center for Atmospheric Research Middle 
Atmosphere Community Climate Model; CHASER: Chemical Atmospheric GCM for Study of Atmo-
spheric Environment and Radiative Forcing; STOCHEM_HadGEM1: United Kingdom Meteorological 
Offi ce global atmospheric chemistry model /Hadley Centre Global Environmental Model 1; UM_CAM: 
United Kingdom Meteorological Offi ce Unifi ed Model GCM with Cambridge University chemistry; 
STOCHEM_HadAM3: United Kingdom Meteorological Offi ce global atmospheric chemistry model/
Hadley Centre Atmospheric Model; LMDzT-INCA: Laboratoire de Meteorologie Dynamique GCM-
INteraction with Chemistry and Aerosols; UIO_CTM2: University of Oslo CTM; FRSGC_UCI: Frontier 
Research System for Global Change/University of California at Irvine CTM.",,
130,317,4,The caption provides details information about the chart,useful,Detailed and Informative,132,3,"The caption only explains about the labels inside the chart, but it is not clearly stating the trend and what should be interpreted.",not_useful,Insufficient or Unclear Description,"Figure 2.6: Time evolution in effective radiative forcings (ERFs) across the industrial era for anthropogenic and natural 
forcing mechanisms. The terms contributing to cumulative totals of positive and negative ERF are shown with colored 
regions. The terms are labeled in order on the right-hand side with positive ERFs above the zero line and negative 
ERFs below the zero line. The forcings from black-carbon-on-snow and contrail terms are grouped together into a 
single term in the plot. Also shown are the cumulative sum of all forcings (Total; black dashed line) and of anthropo-
genic-only forcings (Total Anthropogenic; red dashed line). Uncertainties in 2011 ERF values are shown in the original 
figure (Myhre et al. 2013,8 Figure 8-18). See the Intergovernmental Panel on Climate Change Fifth Assessment Report 
(IPCC AR5) Supplementary Material Table 8.SM.88for further information on the forcing time evolutions. Forcing num-
bers are provided in Annex II of IPCC AR5. The total anthropogenic forcing was 0.57 (0.29 to 0.85) W/m2 in 1950, 1.25 
(0.64 to 1.86) W/m2 in 1980, and 2.29 (1.13 to 3.33) W/m2 in 2011. (Figure source: Myhre et al. 2013,8 Figure 8-18; (c) 
IPCC, used with permission).",,phd
