,image_id,clarity,complexity
0,112,Low Clarity,High Complexity
1,126,Low Clarity,High Complexity
2,139,Low Clarity,Low Complexity
3,148,Low Clarity,High Complexity
4,149,Low Clarity,High Complexity
5,152,Low Clarity,High Complexity
6,184,Low Clarity,High Complexity
7,188,Low Clarity,High Complexity
8,196,Low Clarity,High Complexity
9,203,Low Clarity,High Complexity
10,213,Low Clarity,High Complexity
11,220,Low Clarity,High Complexity
12,236,Low Clarity,High Complexity
13,242,Low Clarity,High Complexity
14,290,High Clarity,High Complexity
15,292,High Clarity,High Complexity
16,297,Low Clarity,High Complexity
17,304,Low Clarity,High Complexity
18,317,Low Clarity,High Complexity
19,324,Low Clarity,High Complexity
20,330,Low Clarity,High Complexity
21,332,Low Clarity,High Complexity
22,337,Low Clarity,High Complexity
23,339,Low Clarity,High Complexity
24,380,Low Clarity,High Complexity
25,407,Low Clarity,High Complexity
26,413,Low Clarity,High Complexity
27,433,Low Clarity,Low Complexity
28,436,Low Clarity,High Complexity
29,442,Low Clarity,High Complexity
30,447,Low Clarity,High Complexity
31,491,Low Clarity,High Complexity
32,492,Low Clarity,High Complexity
33,494,Low Clarity,High Complexity
34,497,Low Clarity,High Complexity
35,502,Low Clarity,High Complexity
36,547,Low Clarity,High Complexity
37,572,Low Clarity,High Complexity
38,604,Low Clarity,High Complexity
39,610,Low Clarity,High Complexity
40,614,Low Clarity,High Complexity
41,639,Low Clarity,High Complexity
42,643,Low Clarity,High Complexity
43,650,Low Clarity,High Complexity
44,658,High Clarity,Low Complexity
45,660,Low Clarity,Low Complexity
46,676,Low Clarity,High Complexity
47,690,Low Clarity,High Complexity
48,736,Low Clarity,High Complexity
49,754,Low Clarity,High Complexity
50,758,Low Clarity,High Complexity
51,765,Low Clarity,High Complexity
52,790,Low Clarity,High Complexity
53,828,Low Clarity,High Complexity
54,839,Low Clarity,High Complexity
55,846,Low Clarity,High Complexity
56,859,Low Clarity,High Complexity
57,869,Low Clarity,High Complexity
58,882,Low Clarity,Low Complexity
59,898,Low Clarity,High Complexity
60,904,Low Clarity,High Complexity
61,909,Low Clarity,High Complexity
62,920,Low Clarity,High Complexity
63,937,Low Clarity,High Complexity
64,950,Low Clarity,High Complexity
65,994,Low Clarity,High Complexity
66,998,Low Clarity,Low Complexity
67,999,Low Clarity,High Complexity
68,1006,Low Clarity,High Complexity
69,1011,Low Clarity,High Complexity
70,1044,Low Clarity,High Complexity
71,1068,Low Clarity,High Complexity
72,1081,Low Clarity,High Complexity
73,1087,High Clarity,High Complexity
74,1100,Low Clarity,High Complexity
75,1112,Low Clarity,High Complexity
76,1143,Low Clarity,High Complexity
77,1146,Low Clarity,High Complexity
78,1153,Low Clarity,High Complexity
79,1177,Low Clarity,High Complexity
80,1178,Low Clarity,High Complexity
81,1192,Low Clarity,High Complexity
82,1205,Low Clarity,High Complexity
83,1206,Low Clarity,High Complexity
84,1214,Low Clarity,High Complexity
85,1215,Low Clarity,High Complexity
86,1225,High Clarity,High Complexity
87,1232,Low Clarity,High Complexity
88,1246,Low Clarity,High Complexity
89,1251,Low Clarity,High Complexity
90,1277,Low Clarity,High Complexity
91,1285,High Clarity,High Complexity
92,1294,High Clarity,High Complexity
93,1295,Low Clarity,High Complexity
94,1301,Low Clarity,High Complexity
95,1303,Low Clarity,High Complexity
96,1326,High Clarity,High Complexity
97,1388,Low Clarity,High Complexity
98,1400,Low Clarity,High Complexity
99,1428,Low Clarity,High Complexity
100,1439,Low Clarity,High Complexity
101,1453,Low Clarity,High Complexity
102,1465,Low Clarity,High Complexity
103,1499,Low Clarity,Low Complexity
104,1503,Low Clarity,High Complexity
105,1510,Low Clarity,High Complexity
106,1519,Low Clarity,High Complexity
107,1576,Low Clarity,High Complexity
108,1581,Low Clarity,High Complexity
109,1601,Low Clarity,High Complexity
110,1615,Low Clarity,High Complexity
111,1626,Low Clarity,High Complexity
112,1633,High Clarity,High Complexity
113,1659,Low Clarity,High Complexity
114,1697,Low Clarity,High Complexity
115,1711,Low Clarity,High Complexity
116,1712,Low Clarity,High Complexity
117,1715,Low Clarity,High Complexity
118,1718,Low Clarity,High Complexity
119,1726,Low Clarity,High Complexity
120,1748,High Clarity,High Complexity
124,1750,Low Clarity,High Complexity
125,1751,Low Clarity,High Complexity
126,1755,Low Clarity,High Complexity
127,1757,Low Clarity,High Complexity
128,1761,Low Clarity,High Complexity
129,1777,Low Clarity,High Complexity
130,1779,Low Clarity,High Complexity
131,1790,Low Clarity,High Complexity
132,1802,Low Clarity,High Complexity
133,1803,Low Clarity,High Complexity
134,1818,Low Clarity,Low Complexity
135,1821,Low Clarity,High Complexity
136,1838,Low Clarity,High Complexity
137,1839,Low Clarity,High Complexity
138,1845,High Clarity,High Complexity
140,1861,Low Clarity,High Complexity
141,1874,Low Clarity,High Complexity
142,1894,Low Clarity,High Complexity
143,1911,Low Clarity,High Complexity
144,1915,Low Clarity,High Complexity
145,1917,Low Clarity,High Complexity
146,1925,Low Clarity,High Complexity
147,1945,Low Clarity,High Complexity
148,1946,Low Clarity,High Complexity
149,1947,Low Clarity,High Complexity
150,1949,Low Clarity,High Complexity
152,1953,Low Clarity,High Complexity
153,1963,Low Clarity,Low Complexity
154,1979,High Clarity,High Complexity
155,2007,Low Clarity,High Complexity
156,2008,Low Clarity,High Complexity
157,2016,Low Clarity,High Complexity
158,2018,Low Clarity,High Complexity
159,2025,Low Clarity,High Complexity
160,2028,High Clarity,High Complexity
162,2049,Low Clarity,High Complexity
163,2050,Low Clarity,High Complexity
164,2052,Low Clarity,High Complexity
165,2054,Low Clarity,High Complexity
166,2060,Low Clarity,High Complexity
167,2061,Low Clarity,High Complexity
168,2062,Low Clarity,High Complexity
169,2064,Low Clarity,High Complexity
170,2065,Low Clarity,High Complexity
171,2071,Low Clarity,High Complexity
172,2074,Low Clarity,High Complexity
173,2103,Low Clarity,High Complexity
174,2105,Low Clarity,High Complexity
175,2117,Low Clarity,High Complexity
176,2124,Low Clarity,High Complexity
177,2125,Low Clarity,High Complexity
178,2138,Low Clarity,High Complexity
179,2141,High Clarity,High Complexity
180,2152,High Clarity,High Complexity
181,2163,Low Clarity,High Complexity
182,2194,Low Clarity,High Complexity
183,2211,High Clarity,High Complexity
184,2213,High Clarity,High Complexity
185,2215,Low Clarity,High Complexity
186,2218,Low Clarity,High Complexity
187,2220,Low Clarity,High Complexity
188,2223,High Clarity,High Complexity
189,2251,Low Clarity,High Complexity
190,2253,Low Clarity,High Complexity
191,2254,Low Clarity,High Complexity
192,2262,Low Clarity,High Complexity
193,2271,Low Clarity,High Complexity
194,2276,Low Clarity,High Complexity
195,2289,Low Clarity,High Complexity
196,2293,Low Clarity,High Complexity
197,2300,Low Clarity,High Complexity
198,2327,Low Clarity,High Complexity
199,2348,Low Clarity,High Complexity
200,2354,High Clarity,High Complexity
201,2356,Low Clarity,High Complexity
202,2357,Low Clarity,High Complexity
203,2360,Low Clarity,High Complexity
204,2364,Low Clarity,High Complexity
205,1749,High Clarity,Low Complexity
