source,figure_ref,page,caption
ar4_wg3_full_report-1.pdf,Figure SPM.1:,15,"Figure SPM.1:  Global Warming Potential (GWP) weighted global greenhouse gas 
emissions 1970-2004. 100 year GWPs from IPCC 1996 (SAR) were used to convert 
emissions to CO2-eq. (cf. UNFCCC reporting guidelines). CO2, CH4, N2O, HFCs, PFCs 
and SF6  from all sources are included.
The two CO2 emission categories reflect CO2 emissions from energy production and 
use (second from bottom) and from land use changes (third from the bottom) [Figure 
1.1a]. 
"
ar4_wg3_full_report-1.pdf,Figure SPM.2:,16,"Figure SPM.2: Relative global development of Gross Domestic Product measured in PPP (GDPppp), Total Primary Energy Supply (TPES), CO2 emissions (from fossil fuel burning, 
gas flaring and cement manufacturing) and Population (Pop). In addition, in dotted lines, the figure shows Income per capita (GDPppp/Pop), Energy Intensity (TPES/GDPppp), Carbon 
Intensity of energy supply (CO2/TPES), and Emission Intensity of the economic production process (CO2/GDPppp) for the period 1970-2004. [Figure 1.5]
"
ar4_wg3_full_report-1.pdf,Figure SPM.3a:,16,"Figure SPM.3a:  Year 2004 distribution of regional per capita GHG emissions (all 
Kyoto gases, including those from land-use) over the population of different country 
groupings. The percentages in the bars indicate a regions share in global GHG emis-
sions [Figure 1.4a].  
"
ar4_wg3_full_report-1.pdf,Figure SPM.3b:,16,"Figure SPM.3b: Year 2004 distribution of regional GHG emissions (all Kyoto 
gases, including those from land-use) per US$ of GDPppp over the GDPppp of different 
country groupings. The percentages in the bars indicate a regions share in global 
GHG emissions [Figure 1.4b].
"
ar4_wg3_full_report-1.pdf,Figure SPM.4:,17,"Figure SPM.4:  Global GHG emissions for 2000 and projected baseline emissions10 for 2030 and 2100 from IPCC SRES and the post-SRES literature. The figure provides the 
emissions from the six illustrative SRES scenarios. It also provides the frequency distribution of the emissions in the post-SRES scenarios (5th, 25th, median, 75th, 95th percentile), 
as covered in Chapter 3. F-gases cover HFCs, PFCs and SF6 [1.3, 3.2, Figure 1.7].    
"
ar4_wg3_full_report-1.pdf,Figure SPM.5A:,21,"Figure SPM.5A: Global economic mitigation potential in 2030 estimated from 
bottom-up studies (data from Table SPM.1)
"
ar4_wg3_full_report-1.pdf,Figure SPM.5B:,21,"Figure SPM.5B: Global economic mitigation potential in 2030 estimated from 
top-down studies (data from Table SPM.2)
"
ar4_wg3_full_report-1.pdf,Figure SPM.6:,22,"Figure SPM.6: Estimated sectoral economic potential for global mitigation for different regions as a function of carbon price in 2030 from bottom-up studies, compared to 
the respective baselines assumed in the sector assessments.  A full explanation of the derivation of this figure is found in Section 11.3.
"
ar4_wg3_full_report-1.pdf,Figure SPM.7:,27,"Figure SPM.7:  Emissions pathways of mitigation scenarios for alternative categories of stabilization levels (Category I to VI as defined in the box in each panel). The path-
ways are for CO2 emissions only. Light brown shaded areas give the CO2 emissions for the post-TAR emissions scenarios.  Green shaded and hatched areas depict the range of 
more than 80 TAR stabilization scenarios. Base year emissions may differ between models due to differences in sector and industry coverage. To reach the lower stabilization 
levels some scenarios deploy removal of CO2 from the atmosphere (negative emissions) using technologies such as biomass energy production utilizing carbon capture and 
storage. [Figure 3.17]
"
ar4_wg3_full_report-1.pdf,Figure SPM.8:,28,"Figure SPM.8:  Stabilization scenario categories as reported in Figure SPM.7 (coloured bands) and their relationship to equilibrium global mean temperature change above 
pre-industrial, using (i) “best estimate” climate sensitivity of 3°C (black line in middle of shaded area),  (ii) upper bound of likely range of climate sensitivity of 4.5°C (red line 
at top of shaded area) (iii) lower bound of likely range of climate sensitivity of 2°C (blue line at bottom of shaded area). Coloured shading shows the concentration bands for 
stabilization of greenhouse gases in the atmosphere corresponding to the stabilization scenario categories I to VI as indicated in Figure SPM.7. The data are drawn from AR4 
WGI, Chapter 10.8.
"
ar4_wg3_full_report-1.pdf,Figure SPM.9:,28,"Figure SPM.9: Cumulative emissions reductions for alternative mitigation measures for 2000 to 2030 (left-hand panel) and for 2000-2100 (right-hand panel). The figure 
shows illustrative scenarios from four models (AIM, IMAGE, IPAC and MESSAGE) aiming at the stabilization at 490-540 ppm CO2-eq and levels of 650 ppm CO2-eq, respectively. 
Dark bars denote reductions for a target of 650 ppm CO2-eq and light bars the additional reductions to achieve 490-540 ppm CO2-eq. Note that some models do not consider 
mitigation through forest sink enhancement (AIM and IPAC) or CCS (AIM) and that the share of low-carbon energy options in total energy supply is also determined by inclusion 
of these options in the baseline. CCS includes carbon capture and storage from biomass. Forest sinks include reducing emissions from deforestation. [Figure 3.23]
"
ar4_wg3_full_report-1.pdf,Figure TS.1a:,39,"Figure TS.1a: Global anthropogenic greenhouse gas emissions,  
1970–2004.  One hundred year global warming potentials (GWPs) from IPCC 1996 
(SAR) were used to convert emissions to CO2-eq. (see the  UNFCCC reporting 
guidelines).  
Gases are those reported under UNFCCC reporting guidelines. The uncertainty in  
the graph is quite large for CH4 and N2O (in the order of 30-50%) and even larger  
for CO2 from agriculture and forestry.  [Figure 1.1a]. 
"
ar4_wg3_full_report-1.pdf,Figure TS.1b:,39,"Figure TS.1b: Global anthropogenic greenhousegas emissions in 2004 
[Figure 1.1b].
"
ar4_wg3_full_report-1.pdf,Figure TS.2a:,40,"Figure TS.2a: GHG emissions by sector in 1990 and 2004 100-year GWPs from 
IPCC 1996 (Second Assessment Report (SAR)) were used to convert emissions to 
CO2-eq. The uncertainty in the graph is quite large for CH4 and N2O (in the order 
of 30–50%) and even larger for CO2 from agriculture and forestry. For large-scale 
biomass burning, averaged activity data for 1997–2002 were used from Global Fire 
Emissions Database based on satellite data. Peat (fire and decay) emissions are 
based on recent data from WL/Delft Hydraulics. [Figure 1.3a]
"
ar4_wg3_full_report-1.pdf,Figure TS.2b:,40,"Figure TS.2b: GHG emissions by sector in 2004 [Figure 1.3b]. 
"
ar4_wg3_full_report-1.pdf,Figure TS.3 ,41,"Figure TS.3 identifies the individual contributions to energy-
related CO2 emissions from changes in population, income per 
capita (gross domestic product (GDP) expressed in terms of 
purchasing-power parity per person - GDPppp/cap), energy 
intensity (Total Primary Energy Supply (TPES)/GDPppp), and 
carbon intensity (CO2/TPES). Some of these factors boost CO2 
emissions (bars above the zero line), while others lower them 
(bar below the zero line). The actual change in emissions per 
decade is shown by the dashed black lines. According to Figure 
TS.3, the increase in population and GDP-ppp/cap (and therefore 
energy use per capita) have outweighed and are projected to 
continue to outweigh the decrease in energy intensities (TPES/
GDPppp) and conceal the fact that CO2 emissions per unit of 
GDPppp are 40% lower today than during the early 1970s and 
have declined faster than primary energy per unit of  GDPppp 
or CO2 per unit of primary energy. The carbon intensity of 
energy supply (CO2/TPES) had an offsetting effect on CO2 
emissions between the mid 1980s and 2000, but has since been 
increasing and is projected to have no such effect after 2010 
(high agreement, much evidence) [1.3]. 
"
ar4_wg3_full_report-1.pdf,Figure TS.3:,41,"Figure TS.3: Decomposition of global energy-related CO2 emission changes at the global scale for three past and three future decades [Figure 1.6].
"
ar4_wg3_full_report-1.pdf,Figure TS.4a:,42,"Figure TS.4a: Distribution of regional per capita GHG emissions (all Kyoto  
gases including those from land-use) over the population of different country  
groupings in 2004. The percentages in the bars indicate a region’s share in  
global GHG emissions [Figure 1.4a].
"
ar4_wg3_full_report-1.pdf,Figure TS.4b:,42,"Figure TS.4b: Distribution of regional GHG emissions (all Kyoto gases including 
those from land-use) per US$ of GDPppp over the GDP of different country groupings 
in 2004. The percentages in the bars indicate a region’s share in global GHG  
emissions [Figure 1.4b].
"
ar4_wg3_full_report-1.pdf,Figure TS.5:,43,"Figure TS.5: Global GHG emissions for 2000 and projected baseline emissions for 2030 and 2100 from IPCC SRES and the post-SRES literature. The figure provides  
the emissions from the six illustrative SRES scenarios. It also provides the frequency distribution of the emissions in the post-SRES scenarios (5th, 25th, median, 75th,  
95th percentile), as covered in Chapter 3. F-gases cover HFCs, PFCs and SF6  [Figure 1.7].
"
ar4_wg3_full_report-1.pdf,Figure TS.6:,47,"Figure TS.6: The technology development cycle and its main driving forces [Figure 
2.3].
"
ar4_wg3_full_report-1.pdf,Figure TS.7:,49,"Figure TS.7: Comparison of the SRES and pre-SRES energy-related and industrial 
CO2 emission scenarios in the literature with the post-SRES scenarios [Figure 3.8].
"
ar4_wg3_full_report-1.pdf,Figure TS.8:,50,"Figure TS.8: Emission pathways of mitigation scenarios for alternative categories of stabilization targets (Category I to VI as defined in the box in each panel). Lightbrown shaded  areas give the 
CO2 emissions for the recent mitigation scenarios developed post-TAR. Green shaded and hatched areas depict the range of more than 80 TAR  
stabilization scenarios (Morita et al., 2001). Category I and II scenarios explore stabilization targets below the lowest of TAR. Base year emissions may differ between models due to differences in 
sector and industry coverage. To reach the lower stabilization levels some scenarios deploy removal of CO2 from the atmosphere (negative emissions)  
using technologies such as biomass energy production utilizing carbon capture and storage [Figure 3.17].
"
ar4_wg3_full_report-1.pdf,Figure TS.9:,51,"Figure TS.9: Relationship between the cost of mitigation and long-term stabilization targets (radiative forcing compared with pre-industrial level, W/m2 and CO2-eq concen-
trations) [Figure 3.25]. 
"
ar4_wg3_full_report-1.pdf,Figure TS.10:,52,"Figure TS.10: Cumulative emission reductions for alternative mitigation measures for 2000–2030 (left-hand panel) and for 2000–2100 (right-hand panel). The figure shows 
illustrative scenarios from four models (AIM, IMAGE, IPAC and MESSAGE) aiming at the stabilization at low (490–540 ppm CO2-eq) and intermediate levels (650 ppm CO2-eq) 
respectively. Dark bars denote reductions for a target of 650 ppm CO2-eq and light bars the additional reductions to achieve 490–540 ppm CO2-eq. Note that some models do 
not consider mitigation through forest sink enhancement (AIM and IPAC) or CCS (AIM) and that the share of low-carbon energy options in total energy supply is also determined 
by inclusion of these options in the baseline. CCS includes carbon capture and storage from biomass. Forest sinks include reducing emissions from deforestation [Figure 3.23]. 
"
ar4_wg3_full_report-1.pdf,Figure TS.11:,53,"Figure TS.11: Stabilization scenario categories as reported in Figure TS.8 (coloured bands) and their relationship to equilibrium global mean temperature change above 
pre-industrial temperatures [Figure 3.38]. 
"
ar4_wg3_full_report-1.pdf,Figure TS.12:,54,"Figure TS.12: Annual primary energy consumption, including traditional biomass, 
1971 to 2003 [Figure 4.2].
"
ar4_wg3_full_report-1.pdf,Figure TS.13:,54,"Figure TS.13: World primary energy consumption by fuel type. [Figure 4.5].
"
ar4_wg3_full_report-1.pdf,Figure TS.14:,59,"Figure TS.14: Vehicle ownership and income per capita as a time line per country [Figure 5.2].
 
Note: data are for 1900–2002, but the years plotted vary by country, depending on data availability. 
"
ar4_wg3_full_report-1.pdf,Figure TS.15:,60,"Figure TS.15: Historical and projected CO2 emissions from transport [Figure 5.4].
"
ar4_wg3_full_report-1.pdf,Figure TS.16:,61,"Figure TS.16: Comparison between current and future biofuel production costs versus gasoline and diesel ex-refinery (FOB) prices for a range of crude oil prices [Figure 5.9].
"
ar4_wg3_full_report-1.pdf,Figure TS.17:,64,"Figure TS.17: CO2 emissions (GtCO2) from buildings including emissions from the use of electricity, 1971–2030 [Figure 6.2].
"
ar4_wg3_full_report-1.pdf,Figure TS.18:,70,"Figure TS.18: Industrial sector energy-related CO2 emissions (GtCO2; including electricity use), 1971–2030. [Table 7.1, 7.2].
"
ar4_wg3_full_report-1.pdf,Figure TS.19:,75,"Figure TS.19: Historic and projected N2O and CH4 emissions (MtCO2-eq.) in the agricultural sector of ten world regions, 1990–2020 [Figure 8.2].
"
ar4_wg3_full_report-1.pdf,Figure TS.20:,76,"Figure TS.20: Potential for GHG agricultural mitigation in 2030 at a range of carbon prices for a SRES B2 baseline [Figure 8.9].
Note: B2 scenario shown, though the pattern is similar for all SRES scenarios. Energy-efficiency measures (770 MtCO2-eq) are included in the mitigation  
potential of the buildings and energy sector. 
"
ar4_wg3_full_report-1.pdf,Figure TS.22:,79,"Figure TS.22: Generalized summary of the options available in the forest  
sector and their type and timing of effects on carbon stocks and the timing  
of costs [Figure 9.4]. 
"
ar4_wg3_full_report-1.pdf,Figure TS.21:,79,"Figure TS.21: Historical forest carbon balance (MtCO2) per region, 1855–2000 [Figure 9.2]. 
"
ar4_wg3_full_report-1.pdf,Figure TS.23:,80,"Figure TS.23: Comparison of outcomes of economic mitigation potential at 
<100 US$/tCO2-eq in 2030 in the forestry sector, as based on top-down global 
models versus the regional modelling results [Figure 9.13].
"
ar4_wg3_full_report-1.pdf,Figure TS.24:,80,"Figure TS.24: Allocation of global afforestation activities as given by two global 
top-down models. Top: location of bio-energy and carbon plantations in the world in 
2100; bottom: percentage of a grid cell afforested in 2100 [Figure 9.11].
"
