semantic_level,sentence
1,A bar chart entitled “Mean of Temperature Maximum by Weather Type in Seattle” that shows the Mean of temp_max by weather type.
1,The Mean of temp_max is plotted on the vertical x-axis from 0 to 20 with an increment of 5.
1,The weather type is plotted on the horizontal y-axis.
1,"There are 5 bars corresponding to 5 precipitation types (drizzle, fog, rain, snow, sun)."
1,The bars are solid blue.
2,"Each year, the Maximum Temperature appears to be highest when it drizzle and lowest when it snows."
4,"From this we can conclude that Seattle has a temperate and seasonal climate, unlike some tropical climates that do not change much throughout the year."
4,Seattle likely has a wide range in temperature difference.
3,Seattle presents mostly a sunny weather with drizzle and fog occurring frequently.
2,Snow is less present than rain with 12.58 occupies an average position.
2,The mean temperature maximum of the sun is 3x that of snow.
2,The difference between the max temperature of drizzle and rain is around 3 degrees.
2,Mean is 0 to 20.
4,The order from drizzle to sun is an ideal weather process .
4,Drizzle is the only weather with an accurate mean temperature.
3,It's hotter when its sunny and cooler when it snows.
3,It's warm during a drizzle as opposed to a rain.
3,It's cooler when it rains than when it's foggy.
3,"As expected sunny weather is the hottest and snowy is the coldest, while drizzle foggy and rainy are milder"
2,"The maximum temperature is usually lowest during snowy season, and highest during sunny time."
2,"The maximum temperature is lower during rainy weather - the more rain, the lower it gets."
4,"From the mean maximum temperature, one might conclude that Seattle has a temperate climate."
2,The average maximum temperature is highest in sunny weather (which is logical).
2,It is also interesting that the average maximum temperature in snow weather is almost 6 degrees.
4,"Fog has always reminded me of cool mornings, so I am surprised that the average maximum temperature here is higher than in the case of rain."
2,The snowy weather has the lowest temperatures.
2,The rainy weather has the second lowest temperatures.
2,The foggy weather has the medium maximum temperatures.
2,The drizzle weather has the second highest maximum temperatures.
2,The sunny weather has the highest maximum temperatures possible.
2,"The order that the maximum temperatures follow is snow, rain, fog, drizzle, sun."
3,"The colder and humid the weather is, the lower the temperatures are in turn."
2,The temperature is highest when it is sunny.
2,The temperature is lowest when there is snow.
3,"The temperature does not drop much when there is drizzle, rain and fog."
2,The highest temperature is just under 20.
1,"A horizontal bar chart entitled “Adolescent pregnancy by geographic location, in percent, 2006/2007”."
1,"Geographic location is plotted on the vertical y-axis for the locations Rural, Urban, and Total."
1,"The % of women aged 15-19 who have begun childbearing is plotted on the horizontal x-axis for Rural (17.9%), Urban (11.8%), and Total (15.4%)."
2,"In rural areas, a higher percentage of roughly 6% more women aged 15-19 have had children, while urban areas have less."
2,The percentage of pregnant adolescents is higher in rural locations than in urban ones.
3,The percentage of adolescents who began a pregnancy in rural locations corresponds to almost one fifth.
3,The percentage of adolescents who begun a pregnancy in urban locations corresponds to almost one eighth.
4,Rural cases are higher probably because there is less attention to unwanted pregnancy and because people might be less informed about how to avoid them.
2,The rate of adolescent pregnancy is greater in rural than urban areas.
4,"Rural teenagers may not have alternative entertainment versus the urban teenager, as well as better education and medical access."
4,Also this data is pre-social media and so teens had to actually hangout with each other back then to socialize.
2,Rural women typically begin childbearing between the ages of 15 and 19 at a higher rate than urban women.
2,The rate of rural women who begin childbearing at ages 15-19 is about 50% higher than the rate of urban women.
3,The majority of women in both rural and urban women will not begin childbearing between the ages of 15 and 19.
2,Rural women have the highest rate of pregnancy at 17.9%.
2,Urban women have the lowest rate of pregnancy at 11.8%.
4,There are other populations not being accounted for in this charter.
2,Women tend to have more children in rural areas than in urban.
2,The percentage of women having children in rural areas is higher than average.
2,The percentage of women having children in urban areas is lower than average.
2,"On average, the adolescent pregnancy rates in 2006/2007 appeared to be higher in Rural areas than in Urban areas."
2,The teen pregnancy rates in rural areas tends to be higher than average.
2,The adolescent pregnancy rates in urban areas tend to be lower than average.
2,Rural areas had the highest percentage of adolescent pregnancies of any location with 17.9%.
2,In contrast urban areas had only 11.8% of adolescent pregnancies.
4,Perhaps this is a reflection of the lack of education or entertainment available in rural areas.
4,This 17.9% Rural pregnancy rate of 15-19 year olds is shockingly high.
2,There is a higher percentage of women between 15-19 who have begun childbearing in rural areas.
2,There is a lower percentage of women between 15-19 who have begun childbearing in urban areas.
3,The average rate of pregnancy among all women is lower than rural areas but higher than in urban areas.
2,"The rate of pregnancy is higher in the Rural with 17.9%, followed by Total with 15.4% and Urban with 11.8%."
3,We can see that the pregnancy rate in rural areas is generally higher than the rest of the examples.
4,"Total isn't stated as to total of what, in the world or which area?"
4,Total also isn't the total from Rural and Urban percentages added up so clearly we cannot conclude a total of what.
4,The rural increase may be due to uneducated and poorly advanced nations.
4,Urban people tend to have less children as the factors are different for each example.
1,A horizontal bar chart entitled “In most regions more women obtained wages than men” showing the Regions on the y-axis and “Female wage and salaried ratio / male wage and salaried workers ratio (% of female/male employment)” on the x-axis from 0.0 to 1.2 with a increment of 0.1.
3,I see that in South Asia and sub-saharan Africa there's a negative trend about wages compared to men ones.
4,"The pattern present in here is that in the Europe or generally in the west area of the world the discrepancy is almost null, but for example in North America and Latin America, there's a legit tendency of improvement of status of wages for Women compared to Men."
2,"In North America, the average wages of women is 1.0963 times higher than that of men."
3,"The average wages of women is greater than that of men in Latin America, the Caribbean, the Middle East and North Africa, Europe, and Central Africa and East Asia and Pacifics whereas the wages of women are less as compared to men in Subsaharan Africa and South Asia and is least for Sub-Saharan Asia whereas compared to men the average wage of women is only 69%."
4,"The lowest amount is on regions like South Africa and East Asia that have less rights for women, and are paid less."
4,"In countries with democracy, East Asia and Pacific (Japan, Australia..) have an amount over 1 maybe because women have more rights there, and this also applies to other continents."
4,"As you approach the regions of America, woman have highest wages compared to the other side of the world."
2,Sub-Saharan Africa and South Asia have significantly lower female wage and salaried ratio / male wage and salaried workers ratio than other regions.
4,Countries in the Americas have the highest female wage and salaried ratio / male wage and salaried workers ratio.
3,Women in North America are more likely to be able to hold a salary than all other countries.
3,Women in Sub-Saharan Africa are less likely to be able to gain paid work and a salary.
4,Western cultures provide more opportunities for women.
3,South Asia and Sub-Saharan Africa seem to be the only regions to have much lower female employment.
3,"In all other regions, the ratio is almost 1, and in North America, Latin America and Caribbean there is almost 10% more female employment that men employment."
3,"Except for South Asia and Sub-Saharan Africa, women earn more than men."
4,In the more developed countries there rates of wages for women are higher.
4,"From this, we can conclude that women are increasingly valued in the labor market in the more developed countries."
2,The region where women appeared to obtain more wages than men the most is North America.
2,The region where women appeared to obtain less than men is Sub-Saharan Africa.
2,Sub-Saharan Africa is the region with the lowest percent of female to male employment ratio.
2,North America is the region with the highest percent of female to male employment ratio.
3,Only Sub-Saharan Africa and South Asia go below a ratio of 1.
2,"Although Sub-Saharan Africa is the region with the lowest value, North Africa has a pretty high female wage and salaried ratio / male wage and salaried workers ratio."
3,"In seven of the 9 regions, women receive higher wages than men."
4,This chart could suggest that workplace discimination is not as severe in the West as some people argue.
