image_id,l1_l4_vector,keyword_vector,domain,chart_type,views,clarity,complexity,mean_rating,sentence_count,Agreement
112,"[0, 1, 0, 0]","[1, 0, 0, 0, 2, 2]",Energy,Bar Graph,composite views,Low Clarity,High Complexity,2.75,1,3
126,"[3, 1, 1, 0]","[9, 5, 7, 4, 1, 10]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,3.0,9,3
139,"[0, 0, 1, 1]","[2, 0, 0, 1, 1, 5]",Climate Science,Bar Graph,composite views,Low Clarity,Low Complexity,3.75,3,3
148,"[2, 3, 0, 2]","[3, 7, 4, 0, 6, 28]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,3.75,8,3
149,"[1, 1, 0, 0]","[1, 0, 0, 1, 5, 1]",Climate Science,Scatter Plot,single view,Low Clarity,High Complexity,2.0,2,3
152,"[1, 3, 1, 0]","[1, 1, 1, 4, 7, 6]",Energy,Line Chart,composite views,Low Clarity,High Complexity,1.75,7,3
184,"[1, 2, 1, 0]","[2, 3, 3, 0, 4, 2]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,2.75,4,3
188,"[1, 1, 0, 1]","[1, 2, 1, 0, 1, 5]",Energy,Line Chart,composite views,Low Clarity,High Complexity,2.5,4,2
196,"[2, 1, 0, 1]","[7, 0, 5, 0, 7, 2]",Climate Science,Bar Graph,single view,Low Clarity,High Complexity,3.75,5,2
203,"[1, 3, 0, 3]","[8, 0, 5, 5, 8, 2]",Climate Science,Bar Graph,single view,Low Clarity,High Complexity,3.5,7,4
213,"[2, 1, 0, 0]","[2, 0, 2, 0, 4, 4]",Energy,Scatter Plot,composite views,Low Clarity,High Complexity,1.75,3,2
220,"[0, 1, 1, 1]","[3, 0, 3, 0, 10, 3]",Energy,Line Chart,composite views,Low Clarity,High Complexity,3.5,3,2
236,"[2, 6, 1, 0]","[3, 9, 11, 2, 8, 25]",Energy,Bar Graph,single view,Low Clarity,High Complexity,2.25,9,2
242,"[1, 1, 1, 0]","[2, 2, 0, 1, 2, 14]",Energy,Line Chart,single view,Low Clarity,High Complexity,2.0,4,2
290,"[0, 1, 1, 5]","[0, 0, 8, 2, 7, 7]",Energy,Bar Graph,composite views,High Clarity,High Complexity,3.25,8,3
292,"[1, 3, 0, 1]","[4, 2, 4, 0, 2, 2]",Energy,Heat Map,composite views,High Clarity,High Complexity,2.25,5,3
297,"[2, 2, 0, 0]","[2, 1, 4, 0, 5, 6]",Climate Science,Line Chart,single view,Low Clarity,High Complexity,3.5,5,4
304,"[2, 2, 2, 10]","[8, 2, 6, 1, 32, 9]",Climate Science,Heat Map,single view,Low Clarity,High Complexity,3.0,16,3
317,"[2, 4, 1, 2]","[6, 1, 4, 0, 4, 12]",Climate Science,"Area Chart,Line Chart",single view,Low Clarity,High Complexity,3.5,12,4
324,"[1, 3, 0, 0]","[0, 0, 2, 1, 4, 2]",Climate Science,Scatter Plot,composite views,Low Clarity,High Complexity,3.75,3,3
330,"[0, 2, 1, 0]","[1, 0, 3, 0, 2, 1]",Energy,"Line Chart,Heat Map",composite views,Low Clarity,High Complexity,3.75,3,3
332,"[0, 1, 0, 0]","[0, 0, 2, 0, 1, 2]",Energy,Line Chart,composite views,Low Clarity,High Complexity,3.5,1,3
337,"[1, 3, 0, 3]","[3, 0, 3, 0, 3, 9]",Energy,Bar Graph,composite views,Low Clarity,High Complexity,4.0,8,3
339,"[0, 1, 0, 0]","[0, 0, 0, 0, 1, 3]",Climate Science,Scatter Plot,single view,Low Clarity,High Complexity,4.0,1,3
380,"[0, 3, 0, 0]","[3, 0, 3, 0, 3, 8]",Energy,Line Chart,single view,Low Clarity,High Complexity,3.25,3,2
407,"[3, 1, 0, 0]","[6, 4, 8, 0, 6, 15]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,3.5,6,2
413,"[0, 1, 0, 0]","[3, 2, 3, 1, 4, 3]",Climate Science,Line Chart,single view,Low Clarity,High Complexity,1.75,1,2
433,"[0, 1, 1, 0]","[4, 0, 3, 0, 2, 3]",Climate Science,Scatter Plot,single view,Low Clarity,Low Complexity,4.0,4,3
436,"[2, 0, 1, 1]","[3, 0, 2, 0, 6, 3]",Climate Science,Line Chart,single view,Low Clarity,High Complexity,4.0,3,3
442,"[1, 0, 0, 3]","[0, 0, 3, 2, 3, 1]",Climate Science,"Bar Graph,Line Chart",composite views,Low Clarity,High Complexity,2.0,4,3
447,"[0, 0, 0, 1]","[0, 1, 1, 0, 3, 1]",Energy,Line Chart,single view,Low Clarity,High Complexity,3.25,1,4
491,"[2, 1, 0, 1]","[0, 0, 2, 1, 3, 16]",Climate Science,Scatter Plot,composite views,Low Clarity,High Complexity,4.5,5,2
492,"[0, 3, 0, 2]","[2, 0, 3, 7, 6, 1]",Climate Science,Line Chart,single view,Low Clarity,High Complexity,3.75,6,2
494,"[6, 2, 4, 1]","[0, 4, 6, 0, 13, 11]",Climate Science,Bar Graph,composite views,Low Clarity,High Complexity,2.75,13,3
497,"[2, 0, 0, 0]","[0, 2, 1, 0, 1, 4]",Climate Science,Line Chart,single view,Low Clarity,High Complexity,4.0,3,2
502,"[1, 0, 1, 1]","[3, 1, 3, 0, 3, 3]",Climate Science,Bar Graph,composite views,Low Clarity,High Complexity,4.75,4,2
547,"[2, 2, 0, 0]","[3, 2, 7, 0, 4, 12]",Energy,"Line Chart,Heat Map",composite views,Low Clarity,High Complexity,2.75,4,2
572,"[2, 2, 1, 0]","[6, 1, 5, 0, 5, 3]",Climate Science,Line Chart,single view,Low Clarity,High Complexity,4.25,8,3
604,"[6, 4, 2, 1]","[12, 5, 10, 4, 9, 25]",Climate Science,Line Chart,single view,Low Clarity,High Complexity,3.0,13,3
610,"[0, 1, 0, 0]","[1, 2, 2, 0, 3, 5]",Energy,Line Chart,single view,Low Clarity,High Complexity,3.0,1,4
614,"[2, 1, 0, 1]","[4, 1, 5, 2, 10, 3]",Climate Science,Line Chart,single view,Low Clarity,High Complexity,3.75,4,3
639,"[2, 0, 2, 3]","[0, 1, 2, 2, 1, 6]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,4.0,8,3
643,"[2, 1, 0, 0]","[0, 1, 2, 0, 1, 10]",Climate Science,Scatter Plot,single view,Low Clarity,High Complexity,3.25,3,2
650,"[1, 1, 0, 0]","[2, 3, 4, 0, 1, 3]",Energy,Bar Graph,single view,Low Clarity,High Complexity,4.25,3,2
658,"[0, 1, 2, 0]","[2, 1, 1, 0, 4, 2]",Energy,Bar Graph,composite views,High Clarity,Low Complexity,4.25,3,2
660,"[0, 2, 1, 5]","[4, 0, 2, 0, 12, 9]",Climate Science,Line Chart,single view,Low Clarity,Low Complexity,4.5,8,2
676,"[0, 1, 0, 0]","[1, 0, 2, 0, 4, 9]",Energy,Line Chart,composite views,Low Clarity,High Complexity,2.75,1,3
690,"[2, 3, 0, 0]","[0, 0, 2, 1, 1, 3]",Climate Science,Scatter Plot,composite views,Low Clarity,High Complexity,3.75,5,3
736,"[2, 2, 0, 0]","[3, 0, 5, 1, 2, 3]",Energy,Area Chart,composite views,Low Clarity,High Complexity,3.75,4,2
754,"[1, 3, 1, 1]","[7, 3, 3, 0, 6, 15]",Energy,"Bar Graph,Line Chart",composite views,Low Clarity,High Complexity,3.25,6,3
758,"[4, 1, 0, 2]","[0, 3, 7, 0, 6, 25]",Climate Science,Bar Graph,composite views,Low Clarity,High Complexity,2.5,7,2
765,"[2, 3, 0, 1]","[2, 0, 2, 1, 6, 14]",Climate Science,Bar Graph,composite views,Low Clarity,High Complexity,2.75,8,3
790,"[2, 4, 0, 0]","[0, 6, 1, 0, 5, 2]",Energy,Bar Graph,single view,Low Clarity,High Complexity,3.5,7,2
828,"[1, 2, 0, 1]","[5, 0, 3, 2, 1, 1]",Energy,Line Chart,single view,Low Clarity,High Complexity,2.25,4,3
839,"[1, 1, 1, 0]","[5, 1, 5, 0, 1, 1]",Climate Science,Line Chart,single view,Low Clarity,High Complexity,3.5,3,4
846,"[0, 0, 1, 2]","[2, 0, 2, 1, 1, 1]",Energy,Bar Graph,single view,Low Clarity,High Complexity,2.5,3,3
859,"[0, 1, 1, 0]","[0, 0, 0, 0, 2, 1]",Energy,Line Chart,single view,Low Clarity,High Complexity,3.75,2,2
