reason_id,image_id,rating,reason,usefulness,cluster
8,324,5,Caption summarizes the main trend,useful,2
10,337,5,Detailed caption that provides the main key takeaway,useful,0
12,436,5,Clear representations with detailed caption that includes the symbols and,useful,0
15,572,5,caption summarizes main takeaway,useful,0
17,650,5,Caption helps in understanding annotations used in the chart . Caption clearly states the takeaway message and provides required context to read the cahrt .,useful,1
18,660,5,The detailed caption provides a clear takeaway,useful,2
19,690,5,labeled which helps with understanding the main takeaway .,useful,0
23,882,4,low level message is easy to grasp,useful,4
24,920,5,caption summarizes the main trend,useful,2
25,937,5,Clear visualization with detailed caption .,useful,0
26,994,5,Clear visualization with detailed caption .,useful,0
28,1081,5,understand the main takeaway by reading the caption .,useful,0
30,1277,5,the caption provides good details to interpret the graph .,useful,1
31,1285,5,The caption provides detailed context explaining the CI and,useful,2
32,1295,5,The caption provides detailed context explaining the CI and,useful,2
33,1303,5,The captions explains the main trend and,useful,4
42,1839,5,The caption also provides detailed context about the source data .,useful,2
53,330,4,Clear visual representation with a detailed caption,useful,0
55,433,4,the caption explains what the different lines mean along with providing detailed information .,useful,2
57,491,4,"- Caption provides a good explanation for what the dots mean 
 - The use of labels helps in understanding the main takeaways",useful,2
59,547,4,"Detailed caption helps in understanding main takeaway ,",useful,2
61,639,4,The caption provides the main takeaways while the chart uses color coding to help understand the caption,useful,1
67,904,4,the captions helps with the interpretation .,useful,2
69,1044,4,the detailed information in the caption helps .,useful,4
70,1301,4,"The caption provided is extensive ,",useful,0
72,1428,4,The caption provides enough information to interpret the graph .,useful,1
74,1499,4,The caption summarizes the key trend and,useful,2
81,1755,4,the caption provides thorough information about each panel which is informative .,useful,2
84,1790,4,The caption provides thorough information about the scenarios and,useful,2
85,1861,4,The caption makes it easy to understand the main key takeaway .,useful,2
86,1874,4,the caption is long so can take a little time to   understand the context of the chart .,useful,1
87,1894,4,The caption is informative and provides necessary context .,useful,2
89,1925,4,The caption provided is gives detailed information about the data shown in the chart .,useful,1
90,1947,4,"The caption provides context about the data sources ,",useful,2
91,1979,4,The caption provides more information about the chart which makes it somewhat interpretable .,useful,1
100,2141,3,Caption clearly states the takeaway message and,useful,0
103,2354,4,Caption clearly concludes the takeaway message .,useful,0
106,2213,4,The caption provides thorough context about the data sources and,useful,2
109,2251,1,Caption provides important information but chart legend is repeated in the caption which is distracting .,useful,3
112,297,3,the caption provides a summary of the key trends .,useful,2
115,754,3,Informative caption but,useful,0
131,846,2,While the caption provides detailed information about the scenarios .,useful,2
134,1100,2,what do they mean . The caption is detailed which helps in understanding the graph 's context .,useful,4
135,1112,2,The detailed caption makes it a little easier to understand the potential economic growth over time .,useful,2
140,1615,2,The caption provides context about the factors and contributions which is informative .,useful,2
144,1750,2,The caption provides extensive context about the experiments and,useful,2
146,1838,2,"The caption provides a detailed description of the each panel ,",useful,2
152,2262,2,"The caption provided gives detailed context about the data sources ,",useful,2
154,2300,2,"The caption does a good job of explaining what the trends are ,",useful,2
158,2215,2,the caption provides detailed context about the dat .,useful,2
169,1205,1,While the caption provides detailed context about the different location and,useful,2
192,869,3,The caption contains domain knowledge required to understand the graph which causes lengthy caption but,useful,1
193,1214,4,the caption provides claims that are evident in the chart which is helpful in understanding the takeaway message .,useful,2
194,1225,1,The caption does not provide information required to understand the visible patterns . Caption provides context of the graph through data description but,useful,1
17,650,5,Caption helps in understanding annotations used in the chart . Caption clearly states the takeaway message and provides required context to read the cahrt .,useful,1
23,882,3,low level message is easy to grasp,useful,4
72,1428,4,the caption can explain the trend better .,useful,4
98,2103,1,definition of shaded region in the caption helps understand the chart but does not give a clear idea of the intent .,useful,4
100,2141,4,Caption clearly states the takeaway message and,useful,0
103,2354,4,Caption clearly concludes the takeaway message .,useful,0
109,2251,1,Caption provides important information but chart legend is repeated in the caption which is distracting .,useful,3
121,152,1,is not mentioned in the caption . The caption also does not summarize the takeaway message .,useful,0
192,869,3,The caption contains domain knowledge required to understand the graph which causes lengthy caption but,useful,1
193,1214,4,the caption provides claims that are evident in the chart which is helpful in understanding the takeaway message .,useful,2
37,1756,4,labels are clearly mentioned,useful,4
89,1925,5,Caption summarize trends in chart,useful,3
90,1947,5,Caption summarize trends in chart,useful,3
91,1979,5,Caption summarize the trend in charts,useful,3
92,2016,5,Caption augments the understanding of chart,useful,1
96,2071,4,Caption is explaining in detail about the chart,useful,1
103,2354,4,Caption augments with chart,useful,3
148,2050,4,Caption provides more information regarding the chart,useful,1
161,909,5,Caption clearly explains chart,useful,1
189,2253,5,Easy to compare the charts using caption,useful,3
