,image_id,Rater,Rating,Group
0,1626,Annotator_1,3,PhD
1,1953,Annotator_1,5,PhD
2,447,Annotator_1,1,PhD
3,1748,Annotator_1,3,PhD
4,882,Annotator_1,2,PhD
5,1777,Annotator_1,3,PhD
6,1519,Annotator_1,2,PhD
7,610,Annotator_1,2,PhD
8,1979,Annotator_1,2,PhD
9,2213,Annotator_1,2,PhD
10,317,Annotator_1,2,PhD
11,1453,Annotator_1,2,PhD
12,2060,Annotator_1,1,PhD
13,1963,Annotator_1,2,PhD
14,297,Annotator_1,4,PhD
15,1143,Annotator_1,5,PhD
16,1178,Annotator_1,4,PhD
17,1861,Annotator_1,2,PhD
18,1206,Annotator_1,3,PhD
19,839,Annotator_1,3,PhD
20,1192,Annotator_1,2,PhD
21,1715,Annotator_1,2,PhD
22,1945,Annotator_1,2,PhD
23,203,Annotator_1,2,PhD
24,1946,Annotator_1,2,PhD
25,2271,Annotator_1,2,PhD
26,1755,Annotator_1,3,PhD
27,1750,Annotator_1,1,PhD
28,1757,Annotator_1,3,PhD
29,1726,Annotator_1,2,PhD
30,1718,Annotator_1,2,PhD
31,1751,Annotator_1,2,PhD
32,112,Annotator_1,2,PhD
33,1712,Annotator_1,3,PhD
34,126,Annotator_1,2,PhD
35,1285,Annotator_1,4,PhD
36,1294,Annotator_1,2,PhD
37,1295,Annotator_1,4,PhD
38,1303,Annotator_1,4,PhD
39,2364,Annotator_1,4,PhD
40,1400,Annotator_1,3,PhD
41,1439,Annotator_1,2,PhD
42,1711,Annotator_1,3,PhD
43,1499,Annotator_1,3,PhD
44,1510,Annotator_1,3,PhD
45,1581,Annotator_1,2,PhD
46,1615,Annotator_1,3,PhD
47,1659,Annotator_1,3,PhD
48,1697,Annotator_1,3,PhD
49,1761,Annotator_1,2,PhD
50,1947,Annotator_1,3,PhD
51,1821,Annotator_1,4,PhD
52,1838,Annotator_1,2,PhD
53,2152,Annotator_1,2,PhD
54,2194,Annotator_1,2,PhD
55,2218,Annotator_1,1,PhD
56,2220,Annotator_1,1,PhD
57,2251,Annotator_1,2,PhD
58,2253,Annotator_1,1,PhD
59,2254,Annotator_1,3,PhD
60,2276,Annotator_1,1,PhD
61,2293,Annotator_1,3,PhD
62,2300,Annotator_1,2,PhD
63,2327,Annotator_1,1,PhD
64,2348,Annotator_1,1,PhD
65,2354,Annotator_1,1,PhD
66,2357,Annotator_1,2,PhD
67,2360,Annotator_1,2,PhD
68,2141,Annotator_1,4,PhD
69,2125,Annotator_1,2,PhD
70,2124,Annotator_1,2,PhD
71,2050,Annotator_1,5,PhD
72,1894,Annotator_1,2,PhD
73,1911,Annotator_1,3,PhD
74,1246,Annotator_1,4,PhD
75,2007,Annotator_1,2,PhD
76,2008,Annotator_1,4,PhD
77,2016,Annotator_1,2,PhD
78,2052,Annotator_1,3,PhD
79,2117,Annotator_1,3,PhD
80,2054,Annotator_1,2,PhD
81,2061,Annotator_1,1,PhD
82,2062,Annotator_1,2,PhD
83,2064,Annotator_1,1,PhD
84,2071,Annotator_1,2,PhD
85,2074,Annotator_1,2,PhD
86,1277,Annotator_1,4,PhD
87,1428,Annotator_1,2,PhD
88,1232,Annotator_1,2,PhD
89,937,Annotator_1,2,PhD
90,909,Annotator_1,3,PhD
91,904,Annotator_1,4,PhD
92,898,Annotator_1,2,PhD
93,869,Annotator_1,2,PhD
94,846,Annotator_1,2,PhD
95,828,Annotator_1,1,PhD
96,765,Annotator_1,4,PhD
97,290,Annotator_1,3,PhD
98,292,Annotator_1,3,PhD
99,304,Annotator_1,2,PhD
100,324,Annotator_1,4,PhD
101,754,Annotator_1,2,PhD
102,330,Annotator_1,3,PhD
103,332,Annotator_1,4,PhD
104,690,Annotator_1,2,PhD
105,676,Annotator_1,3,PhD
106,337,Annotator_1,2,PhD
107,339,Annotator_1,3,PhD
108,639,Annotator_1,3,PhD
109,614,Annotator_1,3,PhD
110,604,Annotator_1,3,PhD
111,572,Annotator_1,3,PhD
112,433,Annotator_1,4,PhD
113,436,Annotator_1,5,PhD
114,442,Annotator_1,2,PhD
115,920,Annotator_1,3,PhD
116,494,Annotator_1,2,PhD
117,950,Annotator_1,2,PhD
118,1081,Annotator_1,2,PhD
119,1225,Annotator_1,4,PhD
120,1215,Annotator_1,2,PhD
121,1205,Annotator_1,3,PhD
122,139,Annotator_1,4,PhD
123,1177,Annotator_1,4,PhD
124,148,Annotator_1,3,PhD
125,1153,Annotator_1,2,PhD
126,1146,Annotator_1,3,PhD
127,149,Annotator_1,3,PhD
128,994,Annotator_1,3,PhD
129,152,Annotator_1,3,PhD
130,184,Annotator_1,2,PhD
131,1100,Annotator_1,3,PhD
132,998,Annotator_1,2,PhD
133,1044,Annotator_1,2,PhD
134,1011,Annotator_1,1,PhD
135,2215,Annotator_1,2,PhD
136,2103,Annotator_1,2,PhD
137,491,Annotator_1,4,PhD
138,236,Annotator_1,2,PhD
139,2065,Annotator_1,5,PhD
140,1845,Annotator_1,2,PhD
141,413,Annotator_1,2,PhD
142,2262,Annotator_1,2,PhD
143,220,Annotator_1,3,PhD
144,492,Annotator_1,3,PhD
145,213,Annotator_1,1,PhD
146,2105,Annotator_1,2,PhD
147,2211,Annotator_1,3,PhD
148,407,Annotator_1,3,PhD
149,380,Annotator_1,3,PhD
150,2356,Annotator_1,5,PhD
151,2138,Annotator_1,2,PhD
152,1749,Annotator_1,2,PhD
153,2289,Annotator_1,1,PhD
154,2163,Annotator_1,3,PhD
155,196,Annotator_1,3,PhD
156,188,Annotator_1,3,PhD
157,242,Annotator_1,1,PhD
158,658,Annotator_1,4,PhD
159,497,Annotator_1,3,PhD
160,1802,Annotator_1,2,PhD
161,1779,Annotator_1,5,PhD
162,790,Annotator_1,2,PhD
163,859,Annotator_1,4,PhD
164,1633,Annotator_1,4,PhD
165,999,Annotator_1,4,PhD
166,1006,Annotator_1,2,PhD
167,1576,Annotator_1,2,PhD
168,1503,Annotator_1,2,PhD
169,1465,Annotator_1,2,PhD
170,1087,Annotator_1,4,PhD
171,1112,Annotator_1,1,PhD
172,1388,Annotator_1,4,PhD
173,1326,Annotator_1,1,PhD
174,1301,Annotator_1,3,PhD
175,1214,Annotator_1,3,PhD
176,502,Annotator_1,5,PhD
177,1790,Annotator_1,2,PhD
178,1803,Annotator_1,5,PhD
179,1925,Annotator_1,5,PhD
180,2049,Annotator_1,2,PhD
181,2025,Annotator_1,2,PhD
182,2018,Annotator_1,3,PhD
183,547,Annotator_1,3,PhD
184,643,Annotator_1,3,PhD
185,650,Annotator_1,5,PhD
186,1251,Annotator_1,3,PhD
187,660,Annotator_1,4,PhD
188,2028,Annotator_1,3,PhD
189,1917,Annotator_1,2,PhD
190,1915,Annotator_1,5,PhD
191,1874,Annotator_1,4,PhD
192,736,Annotator_1,3,PhD
193,1839,Annotator_1,5,PhD
194,758,Annotator_1,3,PhD
195,1818,Annotator_1,5,PhD
196,1601,Annotator_1,5,PhD
197,2223,Annotator_1,4,PhD
198,1949,Annotator_1,2,PhD
199,1068,Annotator_1,1,PhD
200,1626,Annotator_2,2,PhD
201,1953,Annotator_2,2,PhD
202,447,Annotator_2,3,PhD
203,1748,Annotator_2,1,PhD
204,882,Annotator_2,5,PhD
205,1777,Annotator_2,2,PhD
206,1519,Annotator_2,3,PhD
207,610,Annotator_2,1,PhD
208,1979,Annotator_2,3,PhD
209,2213,Annotator_2,3,PhD
210,317,Annotator_2,3,PhD
211,1453,Annotator_2,3,PhD
212,2060,Annotator_2,3,PhD
213,1963,Annotator_2,3,PhD
214,297,Annotator_2,2,PhD
215,1143,Annotator_2,1,PhD
216,1178,Annotator_2,3,PhD
217,1861,Annotator_2,3,PhD
218,1206,Annotator_2,4,PhD
219,839,Annotator_2,2,PhD
220,1192,Annotator_2,3,PhD
221,1715,Annotator_2,3,PhD
222,1945,Annotator_2,3,PhD
223,203,Annotator_2,3,PhD
224,1946,Annotator_2,3,PhD
225,2271,Annotator_2,3,PhD
226,1755,Annotator_2,3,PhD
227,1750,Annotator_2,2,PhD
228,1757,Annotator_2,3,PhD
229,1726,Annotator_2,5,PhD
