reason_id,image_id,rating,reason,chart,caption,both
1,139,5,Easy to compare categories,Easy to compare categories,,
2,139,4,The takeaway is not very clear.,The takeaway is not very clear,,
3,139,2,"The caption is detailed and provides important context, but it is dense and does not clearly summarize the main takeaway",chart is dense,"The caption is detailed and provides important context, does not clearly summarize the main takeaway",
4,148,5,Easy to compare stabilization categories,Easy to compare stabilization categories,,
5,148,4,"The trend is understandable, but the caption can be improved to be more straight-forward.","The trend is understandable,",the caption can be improved to be more straight-forward,
6,148,3,"Chart is dense, uses technical terms, and the caption is long and complex without clear summary of the main takeaway. It makes it difficult to grasp the key message.","Chart is dense, uses technical terms",the caption is long and complex without clear summary of the main takeaway. It makes it difficult to grasp the key message.,
7,203,5,Easy to compare ranges of yield change.,Easy to compare ranges of yield change,,
8,203,4,The graph is hard to extract information from.,The graph is hard to extract information from,,
9,203,3,It uses good color coding to show the percentage of crop yield projections across different ranges. The caption provides a lot of context but not summarizing the main takeaway or highlighting the important parts.,It uses good color coding to show the percentage of crop yield projections across different ranges,The caption provides a lot of context but not summarizing the main takeaway or highlighting the important parts.,
10,2289,5,"Although the bars overlap, it is easy to compare the categories and find the main differences between dataset. ","Although the bars overlap, it is easy to compare the categories and find the main differences between dataset Although the bars overlap, it is easy to compare the categories find the main differences between dataset",,
11,2289,5,Both are easy to understand.,Both are easy to understand,,
12,2289,5,The chart is more explainable,The chart is more explainable,,
13,2360,5,Easy to interpret the chart and see the main trends without looking at the caption.,Easy to interpret the chart and see the main trends without looking at the caption. Easy to interpret the chart,see the main trends without looking at the caption,
14,2360,4,"The caption explains the graph markings, but not the trend, and the graph should have a key explaining the solid and dotted line difference. ",the graph should have a key explaining the solid dotted line difference,"The caption explains the graph markings not the trend,",
15,2360,4,"The visualization is clear, but the caption does not fully summarize the main trend, while the caption is informative it does not have a clear takeaway","The visualization is clear,","the caption does not fully summarize the main trend, the caption is informative it does not have a clear takeaway",
16,324,5,Caption summarizes the main trend,,Caption summarizes the main trend,
17,324,5,"The graph is easy to understand, but the caption can do better at explaining the trend.","The graph is easy to understand,",the caption can do better at explaining the trend,
18,324,1,"Chart a and c tells the same information, not sure why they are represented twice. Caption does not seem to be helping here to understand.","Chart a and c tells the same information, not sure why they are represented twice",Caption does not seem to be helping here to understand,
19,332,5,Easy to read labels and compare the categories to understand the relationship between capacity factor and investment costs,Easy to read labels and compare the categories to understand the relationship between capacity factor and investment costs Easy to read labels compare the categories to understand the relationship between capacity factor investment costs,,
20,332,4,"The caption doesn't explain the second graph well, and the labels on the graph could be differentiated more.",the labels on the graph could be differentiated more,"The caption doesn't explain the second graph well,",
21,332,1,"Why both charts are similar, what is the comparison between them. And the caption does not clearly summarize the chart","Why both charts are similar, what is the comparison between them",the caption does not clearly summarize the chart,
22,337,5,"Detailed caption that provides the main key takeaway
The charts are well labeled ",,"Detailed caption that provides the main key takeaway
The charts are well labeled",
23,337,5,The graph and caption are understandable.,The graph is understandable,caption are understandable,
24,337,4,Easy to understand,,,Easy to understand
25,339,5,Detailed caption and a clear chart makes it easy to understand the main trend,a clear chart makes it easy to understand the main trend,Detailed caption,
26,339,4,Hard to interpret what the symbols are representing on y-axis.,Hard to interpret what the symbols are representing on y-axis,,
27,339,4,"Chart itself is sufficient to interpret it, and caption does not add any value in explaining the trend or describing the chart","Chart itself is sufficient to interpret it,",caption does not add any value in explaining the trend or describing the chart,
28,436,5,Clear representations with detailed caption that includes the symbols and lines (shown in chart),Clear representations lines (shown in chart),detailed caption that includes the symbols and lines (shown in chart) Clear representations with detailed caption that includes the symbols,
29,436,4,"The caption explains the graph, but the graph should have a key. ",the graph should have a key,"The caption explains the graph,",
30,436,2,"The chart and caption does not mention about the extra dots between the years, where caption specifies it as annual mean, but not clear",The chart does not mention about the extra dots between the years,"The chart and caption does not mention about the extra dots between the years, where caption specifies it as annual mean, but not clear",
31,497,5,Easy to compare the onshore and offshore categories,Easy to compare the onshore and offshore categories Easy to compare the onshore offshore categories,,
32,497,5,Both are easy to understand.,,,Both are easy to understand
33,497,3,"The chart and caption does not specify the trend, and only explain about the labels. No clear takeaway.","The chart does not show the trend clearly, and only explain about the labels. ","The caption does not specify the trend, and only explain about the labels.",No clear takeaway.
34,502,5,"Easy to read the labels, color categorization makes it easy to identify the main takeaway.","Easy to read the labels, color categorization makes it easy to identify the main takeaway",,
35,502,5,Both are easy to understand.,,,Both are easy to understand
36,502,4,Easy to compare categories,,,Easy to compare categories
37,572,5,"Clear time series and labeled axes, caption summarizes main takeaway","Clear time series and labeled axes, Clear time series",caption summarizes main takeaway,"labeled axes, caption summarizes main takeaway"
38,572,5,"Both are easy to understand, but the caption can be less wordy.",,the caption can be less wordy,"Both are easy to understand,"
39,572,4,"The caption explains about the chart, but there is no clear takeaway mentioned.",,"The caption explains about the chart, but there is no clear takeaway mentioned.",
40,610,5,"The chart has color coding, it is well-organized and the caption is informative.","The chart has color coding, it is well-organized . The chart has color coding, it is well-organized",the caption is informative . the caption is informative,
41,610,4,The caption doesn't explain the trend present in the graph.,,The caption doesn't explain the trend present in the graph,
42,610,1,The trend or comparison is not clearly mentioned in both chart and caption,,,The trend or comparison is not clearly mentioned in both chart and caption
43,660,5,The graph uses colors to represent 3 different categories making it easy to follow each line. The detailed caption provides a clear takeaway,The graph uses colors to represent 3 different categories making it easy to follow each line,The detailed caption provides a clear takeaway,
44,660,4,The graph is a little hard to read.,The graph is a little hard to read,,
45,660,5,Easy takeaway,,,Easy takeaway
46,690,5,"The caption helps with interpretation of the chart. 
The chart is organized and labeled which helps with understanding the main takeaway.",The chart is organized and labeled which helps with understanding the main takeaway The chart is organized labeled which helps with understanding the main takeaway,The caption helps with interpretation of the chart,
47,690,5,Both are easy to understand.,,,Both are easy to understand
48,690,3,"Both chart and caption is useful to interpret the result, but it lacks mentionining some trends about the labels observed.",chart is useful to interpret the result,"caption is useful to interpret the result, but it lacks mentionining some trends about the labels observed.",
49,790,5,Easy to understand and clear takeaway,Easy to understand clear takeaway,,Easy to understand and clear takeaway
50,790,5,Both are easy to interpret.,,,Both are easy to interpret
51,790,2,Clear explanations are not provided in the captions,,Clear explanations are not provided in the captions,
52,920,5,Easy to compare categories and caption summarizes the main trend,Easy to compare categories,caption summarizes the main trend,
53,920,5,Both are very easy to understand.,,,Both are very easy to understand
54,920,1,The caption does not mention the goal of the chart/ takeaway. It mentions what is mentioned in the charts,,The caption does not mention the goal of the chart/ takeaway. It mentions what is mentioned in the charts,
55,937,5,"Clear visualization with detailed caption. The chart uses color coding and thick lines to show the medians, and the total range of models. ","Clear visualization. The chart uses color coding and thick lines to show the medians, and the total range of models The chart uses color coding thick lines to show the medians, the total range of models",detailed caption,
56,937,4,"The caption and graph design is good, but the x-y labels and titles are hard to read. ",the x-y labels and titles are hard to read.,,
57,937,4,The caption does not mention about the trend having the labels little unclear,,The caption does not mention about the trend having the labels little unclear,
58,994,5,Clear visualization with detailed caption. The different lines along with the shaded area conveys the main takeaway.,"Clear visualization. The chart uses color coding and thick lines to show the medians, and the total range of models The different lines along with the shaded area conveys the main takeaway",detailed caption,
59,994,5,Both are easy to understand.,,,Both are easy to understand
60,994,4,Caption summarize the chart,,Caption summarize the chart,
61,999,5,Clear takeaway and easy to interpret.,Clear takeaway easy to interpret,,Clear takeaway and easy to interpret
62,999,5,Both are easy to interpret.,,,Both are easy to interpret
63,999,4,"Require both caption and chart to interpret the takeaway, the line is clearly not mentioned in the chart","chart to interpret the takeaway, the line is clearly not mentioned in the chart",Require both caption,
64,1081,5,Easy to see the annual average and understand the main takeaway by reading the caption.,Easy to see the annual average,understand the main takeaway by reading the caption,
65,1081,5,Both are easy to interpret.,,,Both are easy to interpret
66,1081,4,"The caption does not fully say the about the chart, but mentions some part of trend",,"The caption does not fully say the about the chart, but mentions some part of trend",
67,1251,5,Easy to get the main takeaway and understand the difference between the color coded bars.,Easy to get the main takeaway and understand the difference between the color coded bars Easy to get the main takeaway understand the difference between the color coded bars,,
68,1251,5,Both are easy to understand.,,,Both are easy to understand
69,1251,3,"The caption does not state any trends in the chart, and no clear takeaways",,"The caption does not state any trends in the chart, and no clear takeaways",
70,1277,5,The words on the side explaining the y-axis is cut off but the caption provides good details to interpret the graph. The legend further helps in understanding the main takeaway.,The legend further helps in understanding the main takeaway. The words on the side explaining the y-axis is cut off. The words on the side explaining the y-axis is cut off The legend further helps in understanding the main takeaway,the caption provides good details to interpret the graph,
71,1277,4,"The caption can better explain the trend, and the graph is good, but the labels are not visible.",the labels are not visible,"The caption can better explain the trend,",
72,1277,2,"Require caption just to read the y-axis label, there are no clear takeaway mentioned",,"Require caption just to read the y-axis label, there are no clear takeaway mentioned",
73,1285,5,The chart shows the time series of the global annual ocean with color-code lines for different categories. The caption provides detailed context explaining the CI and data source. The clear labels from the average time periods help in understanding the main trend.,The chart shows the time series of the global annual ocean with color-code lines for different categories . The clear labels from the average time periods help in understanding the main trend The chart shows the time series of the global annual ocean with color-code lines for different categories data source The clear labels from the average time periods help in understanding the main trend,The caption provides detailed context explaining the CI and data source The caption provides detailed context explaining the CI,
74,1285,5,Both are pretty easy to understand.,,,Both are pretty easy to understand
75,1285,1,"The chart does mention the error region, but it is not clear about the range of the confidence interval or why is it kept with different colors","The chart does mention the error region, it is not clear about the range of the confidence interval or why is it kept with different colors",,
