image_id,source,caption,image_path
7,WGI_TAR_full_report.pdf,"Figure 12.12: (a) Estimates of the “scaling factors” by which we have to multiply the amplitude of several model-simulated signals to reproduce
the corresponding changes in the observed record. The vertical bars indicate the 5 to 95% uncertainty range due to internal variability. A range
encompassing unity implies that this combination of forcing amplitude and model-simulated response is consistent with the corresponding
observed change, while a range encompassing zero implies that this model-simulated signal is not detectable (Allen and Stott, 2000; Stott et al.,
2000a). Signals are defined as the ensemble mean response to external forcing expressed in large-scale (>5000 km) near-surface temperatures over
the 1946 to 1996 period relative to the 1896 to 1996 mean. The first entry (G) shows the scaling factor and 5 to 95% confidence interval obtained
if we assume the observations consist only of a response to greenhouse gases plus internal variability. The range is significantly less than one
(consistent with results from other models), meaning that models forced with greenhouse gases alone significantly overpredict the observed
warming signal. The next eight entries show scaling factors for model-simulated responses to greenhouse and sulphate forcing (GS), with two
cases including indirect sulphate and tropospheric ozone forcing, one of these also including stratospheric ozone depletion (GSI and GSIO respec-
tively). All but one (CGCM1) of these ranges is consistent with unity. Hence there is little evidence that models are systematically over- or under-
predicting the amplitude of the observed response under the assumption that model-simulated GS signals and internal variability are an adequate
representation (i.e. that natural forcing has had little net impact on this diagnostic). Observed residual variability is consistent with this assumption
in all but one case (ECHAM3, indicated by the asterisk). We are obliged to make this assumption to include models for which only a simulation
of the anthropogenic response is available, but uncertainty estimates in these single-signal cases are incomplete since they do not account for
uncertainty in the naturally forced response. These ranges indicate, however, the high level of confidence with which we can reject internal
variability as simulated by these various models as an explanation of recent near-surface temperature change.
A more complete uncertainty analysis is provided by the next three entries, which show corresponding scaling factors on individual
greenhouse (G), sulphate (S), solar-plus-volcanic (N), solar-only (So) and volcanic-only (V) signals for those cases in which the relevant simula-
tions have been performed. In these cases, we estimate multiple factors simultaneously to account for uncertainty in the amplitude of the naturally
forced response. The uncertainties increase but the greenhouse signal remains consistently detectable. In one case (ECHAM3) the model appears
to be overestimating the greenhouse response (scaling range in the G signal inconsistent with unity), but this result is sensitive to which
component of the control is used to define the detection space. It is also not known how it would respond to the inclusion of a volcanic signal. In
cases where both solar and volcanic forcing is included (HadCM2 and HadCM3), G and S signals remain detectable and consistent with unity
independent of whether natural signals are estimated jointly or separately (allowing for different errors in S and V responses). (b) Estimated
contributions to global mean warming over the 20th century, based on the results shown in (a), with 5 to 95% confidence intervals. Although the
estimates vary depending on which model’s signal and what forcing is assumed, and are less certain if more than one signal is estimated, all show
a significant contribution from anthropogenic climate change to 20th century warming (from Allen et al., 2000a).",./images/7.png
10,WGIII_TAR_full_report.pdf,"Figure 9.3: Effect of seasonal O3 concentrations on agricultural crop yields derived from a Weibull Parametric Fit of NCLAN
O3 exposure and yield data (Adams et al., 1989, adapted by Chameides et al., 1999)",./images/10.png
12,ar4_wg3_full_report-1.pdf,"Figure 9.8: OECD North America: technical potential for the forest sector alone for Canada (left, sink is positive) and the economic potential (at 15 US$/tCO2eq in constant real 
prices) in the agriculture and forestry sector in the USA (right) Left: Chen et al., 2000; right: US-EPA, 2005",./images/12.png
13,SRREN_Full_Report-1.pdf,"Figure 7.8 | Global annual wind power capacity additions and cumulative capacity (Data sources: GWEC, 2010a; Wiser and Bolinger, 2010).",./images/13.png
14,"2007 Impact, adaption.pdf","Figure 10.2. Projected number of hot days (>30degC) and days of heavy rainfall (>100 mm/day) by the high resolution general circulation model
(Hasumi and Emori, 2004).",./images/14.png
20,SRREN_Full_Report-1.pdf,"Figure 7.16 | Wind energy, electricity demand and instantaneous penetration levels in (left) West Denmark for a week in January 2005, and (right) the island of Ireland for two days 
in April 2010. Source: Data from (left) www.energinet.dk; (right) www.eirgrid.com and System Operator for Northern Ireland.",./images/20.png
26,WGIII_TAR_full_report.pdf,"Figure 8.19: Average GDP and CO2 reductions in 550ppmv stabilization scenarios: year 2050 (labels identify different scenario
groups).",./images/26.png
30,ar4_wg3_full_report-1.pdf,Figure 10.6b: Regional distribution of N2O emissions from human sewage in 1990 and 2020. See Table 10.3 for total emissions.,./images/30.png
45,CARBON DIOXIDE CAPTURE AND STORAGE.pdf,"Figure 3.7 Percentage increase in fuel use per kWh of electricity due to CO2 capture, compared to the same plant without capture (Source data:
Davison, 2005; IEA GHG, 2004; IEA GHG, 2003; IEA GHG, 2000b; Dillon et al., 2005).
a. The increase in fuel required to produce a kWh of electricity is calculated by comparing the same type of plant with and without capture. The
increase in fuel consumption depends on the type of baseline plant without capture. For example, the increase in energy consumption for a GE
IGCC plant with capture compared to a coal steam cycle baseline plant without capture would be 40% as opposed to the lower value shown
in the figure that was calculated relative to the same type of baseline plant without capture.
b. The direct energy consumptions for CO2 separation are lower for pre-combustion capture than for post-combustion capture, because CO2
is removed from a more concentrated, higher pressure gas, so a physical rather than a chemical solvent can be used.
c. The ‘Fuel gas processing and related impacts’ category for IGCC includes shift conversion of the fuel gas and the effects on the gas turbine
combined cycle of removal of CO2 from the fuel gas and use of hydrogen as a fuel instead of syngas. For natural gas pre-combustion capture
this category also includes partial oxidation/steam reforming of the natural gas.
d. The energy consumption for CO2 compression is lower in pre-combustion capture than in post-combustion capture because some of the CO2
leaves the separation unit at elevated pressure.
e. The energy consumption for CO2 compression in the oxy-fuel processes depends on the composition of the extracted product, namely 75%
by volume in the coal-fired plant and 93% by volume in the gas fired plant. Impurities are cryogenically removed from the CO2
during compression, to give a final CO2 purity of 96% by volume. The energy consumption of the cryogenic CO2
separation unit is included in the CO2 compression power consumption.
f. The ‘Oxygen production and power plant impacts’ category for oxy-fuel processes includes the power consumption for oxygen production
and the impacts of CO2 capture on the rest of the power plant, that is excluding CO2 compression and purification. In the coal-fired oxy-fuel
plant, the efficiency of the rest of the power plant increases slightly, for example due to the absence of a flue gas desulphurization (FGD)
unit. The efficiency of the rest of the gas fired oxy-fuel plant decreases because of the change of working fluid in the power cycle from air to
recycled flue gas.",./images/45.png
70,ar4_wg3_full_report-1.pdf,"Figure 13.3: Evolution of the Clean Development Mechanism portfolio in terms of CO2 -equivalents per year and number of projects. 
Source: Ellis and Karousakis (2006).",./images/70.png
82,Research for Universal Health Coverage 2013.pdf,fig 23 private and publicsector investment in rd classified as basic applied and experimental development research for six african countries ranked in ascending order of gross national income left to right,./images/82.png
84,IHME_Policy-report_Maternal-child-health-in-America_2016.pdf,"Figure 8: Top 10 injuries among children under 5 in the United States, 1990-2013",./images/84.png
90,ar4_wg3_full_report-1.pdf,"Figure 3.6: Development of carbon intensity of energy (left) and primary energy intensity of GDP (right). Historical development and projections from SRES and pre-SRES 
scenarios compared to post-SRES scenarios. ",./images/90.png
