reason_id,image_id,rating,reason,usefulness,cluster
11,339,5,Detailed caption and,neutral,1
16,610,5,the caption is informative .,neutral,1
39,1779,5,The chart 's caption is long but,neutral,2
44,2062,5,"Although the caption is long ,",neutral,1
54,380,4,"The caption is detailed ,",neutral,1
58,492,4,detailed caption,neutral,1
64,736,4,Informative caption but,neutral,1
65,828,4,Informative caption .,neutral,1
71,1388,4,Clear explanation in the caption and,neutral,1
80,1726,4,Detailed caption but,neutral,1
94,2054,4,"The caption is informative ,",neutral,1
98,2103,2,definition of shaded region in the caption helps understand the chart but does not give a clear idea of the intent .,neutral,4
108,2223,4,The overall presentation is somewhat interpretable with the given context found in the caption .,neutral,4
110,184,3,Complex caption and,neutral,1
113,407,3,The caption is detailed but,neutral,1
116,1011,3,Detailed caption but,neutral,1
118,1215,3,the caption provides detailed information about the each element but,neutral,1
128,604,2,Detailed caption but,neutral,1
137,1206,2,"despite the detailed caption ,",neutral,1
141,1633,2,"The caption is very detailed about the visualization ,",neutral,4
142,1659,2,the caption is very detailed about the context and,neutral,1
143,1748,2,The caption is detailed but,neutral,1
150,2125,2,The caption is complex and,neutral,1
156,2152,2,The caption provides thorough context but,neutral,1
159,2252,2,the caption is needed .,neutral,1
163,1068,1,"even though there is a legend ,",neutral,3
164,1087,1,"While the caption explains the context ,",neutral,1
165,1146,1,"The caption is detailed however the overall layout is cluttered with many bars ,",neutral,1
167,1178,1,"While the caption provides detailed context ,",neutral,1
168,1192,1,"While the caption provides details context ,",neutral,1
170,1232,1,"While the caption provides context ,",neutral,1
177,1946,1,The caption is long and,neutral,1
178,1953,1,While the caption is concise and,neutral,1
186,2064,1,"The caption is long ,",neutral,1
196,1503,4,the caption,neutral,1
3,196,5,caption are easy to understand .,neutral,1
7,2360,4,"The caption explains the graph markings ,",neutral,4
10,337,5,caption are understandable .,neutral,1
12,436,4,"The caption explains the graph ,",neutral,4
15,572,5,the caption can be less wordy .,neutral,1
30,1277,4,"The caption can better explain the trend ,",neutral,4
55,433,5,the caption are easy to understand .,neutral,1
60,614,3,"The caption explains the situation ,",neutral,4
64,736,4,"The caption describes the graphs well ,",neutral,4
70,1301,4,"caption are good ,",neutral,1
77,1697,4,"The caption explains the graph pretty well ,",neutral,4
84,1790,4,"The caption is good ,",neutral,0
85,1861,5,the caption can better explain the trend / context .,neutral,1
88,1915,4,"The caption is straightforward ,",neutral,1
89,1925,4,"The caption is good ,",neutral,0
93,2049,4,"The caption is good ,",neutral,0
95,2061,4,The caption can explain the context and,neutral,1
96,2071,4,"The caption is good ,",neutral,0
107,2220,3,"The caption explains the graph pretty well ,",neutral,4
113,407,3,"The caption explains the graph ,",neutral,4
114,494,2,"explains the situation ,",neutral,3
117,1143,2,"The different colors are explained in the caption ,",neutral,3
119,1439,5,the caption can be better .,neutral,0
125,292,4,the caption can better explain the situation .,neutral,1
134,1100,2,"The caption is good ,",neutral,0
136,1153,4,"The caption can better explain the trend ,",neutral,4
138,1400,1,"The caption is okay ,",neutral,0
141,1633,4,"The caption is good ,",neutral,0
142,1659,1,"The caption is okay ,",neutral,0
145,1802,4,"The caption is okay ,",neutral,0
147,1911,4,"The caption is okay ,",neutral,0
152,2262,4,The caption is good .,neutral,0
158,2215,4,"The caption is good ,",neutral,0
159,2252,3,"The caption is good ,",neutral,0
162,950,1,"The caption is good ,",neutral,0
169,1205,2,"The caption is okay ,",neutral,0
170,1232,1,"The caption is good ,",neutral,0
173,1326,1,"The caption is good ,",neutral,0
174,1576,1,"The caption can be more straight - forward ,",neutral,1
175,1751,4,"The caption is good ,",neutral,0
