image_id,interpretability_rating_phd_res1,interpretability_rating_phd_res2,interpretability_rating_u_res1,interpretability_rating_u_res2,mean_rating
112,2.0,3.0,4,2,2.75
126,2.0,3.0,4,3,3.0
139,4.0,2.0,5,4,3.75
148,3.0,3.0,5,4,3.75
149,3.0,2.0,1,2,2.0
152,3.0,2.0,1,1,1.75
184,2.0,2.0,3,4,2.75
188,3.0,2.0,2,3,2.5
196,3.0,4.0,4,4,3.75
203,2.0,3.0,5,4,3.5
213,1.0,2.0,2,2,1.75
220,3.0,4.0,3,4,3.5
236,2.0,3.0,2,2,2.25
242,1.0,3.0,1,3,2.0
290,3.0,2.0,4,4,3.25
292,3.0,1.0,2,3,2.25
297,4.0,2.0,3,5,3.5
304,2.0,3.0,4,3,3.0
317,2.0,3.0,4,5,3.5
324,4.0,1.0,5,5,3.75
330,3.0,3.0,4,5,3.75
332,4.0,1.0,5,4,3.5
337,2.0,4.0,5,5,4.0
339,3.0,4.0,5,4,4.0
380,3.0,3.0,4,3,3.25
407,3.0,5.0,3,3,3.5
413,2.0,1.0,2,2,1.75
433,4.0,3.0,4,5,4.0
436,5.0,2.0,5,4,4.0
442,2.0,3.0,2,1,2.0
447,1.0,3.0,4,5,3.25
491,4.0,5.0,4,5,4.5
492,3.0,4.0,4,4,3.75
494,2.0,4.0,3,2,2.75
497,3.0,3.0,5,5,4.0
502,5.0,4.0,5,5,4.75
547,3.0,3.0,3,2,2.75
572,3.0,4.0,5,5,4.25
604,3.0,4.0,2,3,3.0
610,2.0,1.0,5,4,3.0
614,3.0,5.0,4,3,3.75
639,3.0,4.0,4,5,4.0
643,3.0,3.0,4,3,3.25
650,5.0,2.0,5,5,4.25
658,4.0,4.0,4,5,4.25
660,4.0,5.0,5,4,4.5
676,3.0,4.0,2,2,2.75
690,2.0,3.0,5,5,3.75
736,3.0,4.0,4,4,3.75
754,2.0,3.0,3,5,3.25
758,3.0,3.0,2,2,2.5
765,4.0,3.0,2,2,2.75
790,2.0,2.0,5,5,3.5
828,1.0,3.0,4,1,2.25
839,3.0,2.0,4,5,3.5
846,2.0,1.0,2,5,2.5
859,4.0,4.0,3,4,3.75
