reason_id,image_id,rating,reason,chart,caption,both,group
193,1499,4,The caption summarizes the key trend and the graph includes a legend and it is somewhat easy to understand the errors bars. This visualization effectively shows the differences between the categories.,the graph includes a legend and it is somewhat easy to understand the errors bars. the graph includes a legend it is somewhat easy to understand the errors bars This visualization effectively shows the differences between the categories,The caption summarizes the key trend,,_u_res_1
5,148,4,"The trend is understandable, but the caption can be improved to be more straight-forward.","The trend is understandable,",the caption can be improved to be more straight-forward,,_u_res2
14,2360,4,"The caption explains the graph markings, but not the trend, and the graph should have a key explaining the solid and dotted line difference. ",the graph should have a key explaining the solid dotted line difference,"The caption explains the graph markings not the trend,",,_u_res2
17,324,5,"The graph is easy to understand, but the caption can do better at explaining the trend.","The graph is easy to understand,",the caption can do better at explaining the trend,,_u_res2
20,332,4,"The caption doesn't explain the second graph well, and the labels on the graph could be differentiated more.",the labels on the graph could be differentiated more,"The caption doesn't explain the second graph well,",,_u_res2
23,337,5,The graph and caption are understandable.,The graph is understandable,caption are understandable,,_u_res2
29,436,4,"The caption explains the graph, but the graph should have a key. ",the graph should have a key,"The caption explains the graph,",,_u_res2
71,1277,4,"The caption can better explain the trend, and the graph is good, but the labels are not visible.",the labels are not visible,"The caption can better explain the trend,",,_u_res2
86,1711,4,"The caption can better by explaining the trend, and the graph labels are small.",the graph labels are small,"The caption can better by explaining the trend,",,_u_res2
125,126,3,"The graphs are easy to understand, but the captions are very long-winded. ","The graphs are easy to understand,",the captions are very long-winded,,_u_res2
128,304,3,"The caption is very wordy, and the labels are hard to read on the graph.",the labels are hard to read on the graph,"The caption is very wordy,",,_u_res2
140,433,5,The graph and the caption are easy to understand.,The graph is easy to understand,the caption are easy to understand,,_u_res2
149,492,4,"Caption is very wordy, but graph is understandable. ",graph is understandable,"Caption is very wordy,",,_u_res2
152,614,3,"The caption explains the situation, but the graph is very wordy and hard to read.",the graph is very wordy hard to read,"The caption explains the situation,",,_u_res2
164,736,4,"The caption describes the graphs well, but the graphs a little unclear and hard to read. ",the graphs a little unclear hard to read,"The caption describes the graphs well,",,_u_res2
167,828,1,"The caption doesn't explain what the different colors mean, and doesn't explain the trend. It is extremely hard to differentiate the colors on the graph, and we don't know what each color represents.  ","It is extremely hard to differentiate the colors on the graph, we don't know what each color represents","The caption doesn't explain what the different colors mean, and doesn't explain the trend. ",,_u_res2
176,1006,2,"The caption should explain the trend better, and the graph is very hard to read and tell the difference between the many labels. ",the graph is very hard to read tell the difference between the many labels,"The caption should explain the trend better,",,_u_res2
