reason_id,image_id,rating,reason,usefulness,feature,caption
3,139,2,"The caption is detailed and provides important context, does not clearly summarize the main takeaway",not_useful,**Missing or Unclear Takeaway Message**,"Figure 4.1. Global economic mitigation potential in 2030 estimated from bottom-up (Panel a) and top-down (Panel b) studies, compared with the projected
emissions increases from SRES scenarios relative to year 2000 GHG emissions of 40.8 GtCO2-eq (Panel c). Note: GHG emissions in 2000 are exclusive of
emissions of decay of above-ground biomass that remains after logging and deforestation and from peat fires and drained peat soils, to ensure consistency
with the SRES emissions results. {WGIII Figures SPM.4, SPM.5a, SPM.5b}"
6,148,3,the caption is long and complex without clear summary of the main takeaway. It makes it difficult to grasp the key message.,not_useful,Missing or Unclear Takeaway Message,"Figure 5.1. Global CO2 emissions for 1940 to 2000 and emissions ranges for categories of stabilisation scenarios from 2000 to 2100 (left-hand panel); and
the corresponding relationship between the stabilisation target and the likely equilibrium global average temperature increase above pre-industrial (right-
hand panel). Approaching equilibrium can take several centuries, especially for scenarios with higher levels of stabilisation. Coloured shadings show
stabilisation scenarios grouped according to different targets (stabilisation category I to VI). The right-hand panel shows ranges of global average tempera-
ture change above pre-industrial, using (i) 'best estimate' climate sensitivity of 3degC (black line in middle of shaded area), (ii) upper bound of likely range of
climate sensitivity of 4.5degC (red line at top of shaded area) (iii) lower bound of likely range of climate sensitivity of 2degC (blue line at bottom of shaded area).
Black dashed lines in the left panel give the emissions range of recent baseline scenarios published since the SRES (2000). Emissions ranges of the
stabilisation scenarios comprise CO2-only and multigas scenarios and correspond to the 10th to 90th percentile of the full scenario distribution. Note: CO2
emissions in most models do not include emissions from decay of above ground biomass that remains after logging and deforestation, and from peat fires
and drained peat soils. {WGIII Figures SPM.7 and SPM.8}"
9,203,3,The caption provides a lot of context but not summarizing the main takeaway or highlighting the important parts.,not_useful,Missing or Unclear Takeaway Message,"Figure 7-5 | Summary of projected changes in crop yields, due to climate change over the 21st century. The figure includes projections for different emission scenarios, for 
tropical and temperate regions, and for adaptation and no-adaptation cases combined. Relatively few studies have considered impacts on cropping systems for scenarios where 
global mean temperatures increase by 4degC or more. For five timeframes in the near-term and long-term, data (n=1090) are plotted in the 20-year period on the horizontal axis 
that includes the midpoint of each future projection period. Changes in crop yields are relative to late-20th-century levels. Data for each timeframe sum to 100%. Projections 
taken from Abraha and Savage, 2006; Alexandrov and Hoogenboom, 2000; Arndt et al., 2011; Berg et al., 2013; Brassard and Singh, 2008; Brassard and Singh, 2007; Butt et al., 
2005; Calzadilla et al., 2009; Chhetri et al., 2010; Ciscar et al., 2011; Deryng et al., 2011; Giannakopoulos et al., 2009; Hermans et al., 2010; Iqbal et al., 2011; Izaurralde et al, 
2005; Kim et al., 2010; Lal, 2011; Li et al., 2011; Lobell et al., 2008; Moriondo et al., 2010; Muller et al., 2010; Osborne et al., 2013; Peltonen-Sainio et al., 2011; Piao et al., 
2010; Ringler et al., 2010; Rowhanji et al., 2011; Schlenker and Roberts, 2009; Shuang-He et al., 2011; Southworth et al., 2000; Tan et al., 2010; Tao & Zhang, 2010; Tao and 
Zhang, 2011; Tao et al., 2009; Thornton et al., 2009; Thornton et al., 2010; Thornton et al., 2011; Tingem and Rivington, 2009; Tingem et al., 2008; Walker and Schulze, 2008; 
Wang et al., 2011; Xiong et al., 2007; Xiong et al., 2009."
20,332,4,"The caption doesn't explain the second graph well,",not_useful,Insufficient or Unclear Description,"Figure 7.23 | Estimated levelized cost of on- and offshore wind energy, 2009: (left) as a function of capacity factor and investment cost* and (right) as a function of capacity factor 
and discount rate**. "
27,339,4,caption does not add any value in explaining the trend or describing the chart,not_useful,Insufficient or Unclear Description,"Figure 9.18: Equilibrium climate and hydrological senstitivies from AGCMs coupled to mixed-layer ocean components; blue diamonds from the
SAR, red triangles from models in current use (LeTreut and McAvaney, 2000 and Table 9.1). "
33,497,3,"The caption does not specify the trend, and only explain about the labels.",not_useful,Insufficient or Unclear Description,"Figure 8.1 CO2 transport costs range for onshore and offshore pipelines per 250 km, 'normal' terrain conditions. The figure shows low (solid 
lines) and high ranges (dotted lines). Data based on various sources (for details see Chapter 4)."
57,937,4,The caption does not mention about the trend having the labels little unclear,not_useful,Insufficient or Unclear Description,"Figure 11.19. Annual cycle of arctic area 
mean temperature and percentage precipi-
tation changes (averaged over the area north 
of 60degN) for 2080 to 2099 minus 1980 to 
1999, under the A1B scenario. Thick lines 
represent the ensemble median of the 21 
MMD models. The dark grey area represents 
the 25 and 75% quartile values among the 
21 models, while the light grey area shows 
the total range of the models."
66,1081,4,"The caption does not fully say the about the chart, but mentions some part of trend",not_useful,Insufficient or Unclear Description,"Figure 7.3: Index of the number of 2-day precipitation events exceeding the station-specific threshold for a 5-year 
recurrence interval in the contiguous United States, expressed as a percentage difference from the 1901-1960 mean. 
The annual values are averaged over 5-year periods, with the pentad label indicating the ending year of the period. 
Annual time series of the number of events are first calculated at individual stations. Next, the grid box time series are 
calculated as the average of all stations in the grid box. Finally, a national time series is calculated as the average of 
the grid box time series. Data source: GHCN-Daily. (Figure source: CICS-NC and NOAA NCEI)."
69,1251,3,"The caption does not state any trends in the chart, and no clear takeaways",not_useful,"""Missing or Unclear Takeaway Message""","Figure 7.8: Projected change (percentage change relative to the 1976-2005 reference period average) in the number 
of daily zero ('No-Precip') and non-zero precipitation days (by percentile bins) for late-21st century under a higher 
scenario (RCP8.5). The precipitation percentile bin thresholds are based on daily non-zero precipitation amounts from 
the 1976-2005 reference period that have been ranked from low to high. These results are calculated from the LOCA 
downscaled data. (Figure source: CICS-NC and NOAA NCEI)."
86,1711,4,"The caption can better by explaining the trend,",not_useful,Observed Pattern Not Explained,"Figure 6.8: Time evolution of global mean radiative forcing from pre-industrial times (1750) to present. Annual mean radiative forcing values are
shown, except for stratospheric aerosols of volcanic origin where a three-year running mean is used. Radiative forcings due to (a) well-mixed
greenhouse gases, tropospheric O3, and stratospheric O3, (b) direct effect of sulphate aerosols, fossil fuel organic and black carbon aerosols, and
biomass burning aerosols, (c) solar irradiance variations from Lean et al. (1995) and Hoyt and Schatten (1993), respectively, and (d) stratospheric
aerosols of volcanic origin from Sato et al. (1993) (and updated with data from www.giss.nasa.gov) for the period 1850 to 1998 and from Robock
and Free (1996) for the period 1750 to 1988 (for the Northern Hemisphere only). Note the change of scales in the different panels."
93,1761,4,"Though the caption clearly explains about the what is being measured and how the data compiled, but it does not clearly summarize the main takeaway or highlight the important trends.",not_useful,Missing or Unclear Takeaway Message,"Figure 9.11 | Illustrative estimates of direct and indirect LUC-related GHG emissions 
induced by several fi rst-generation biofuel pathways, reported here as ranges in central 
tendency and total reported uncertainty. Estimates reported here combine several dif-
ferent uncertainty calculation methods and central tendency measures and assume a 
30-year time frame. Reported under the x-axis is the number of references with results 
falling within these ranges (Sources: Searchinger et al., 2008; Al-Riffai et al., 2010; EPA, 
2010b; Fritsche et al., 2010; Hertel et al., 2010; Tyner et al., 2010)."
96,1779,4,caption does not fully capture the summary of the chart,not_useful,Insufficient or Unclear Description,"Figure 2-4: Simulating the Earth's temperature variations and comparing the results to the measured
changes can provide insight into the underlying causes of the major changes. A climate model can be
used to simulate the temperature changes that occur from both natural and anthropogenic causes. The simulations represented by the band in
(a) were done with only natural forcings: solar variation and volcanic activity. Those encompassed by the band in (b) were done with anthropogenic
forcings: greenhouse gases and an estimate of sulfate aerosols. Those encompassed by the band in (c) were done with both natural and anthropogenic
forcings included. From (b), it can be seen that the inclusion of anthropogenic forcings provides a plausible explanation for a substantial part of
the observed temperature changes over the past century, but the best match with observations is obtained in (c) when both natural and anthropogenic
factors are included. These results show that the forcings included are sufficient to explain the observed changes, but do not exclude the possibility
that other forcings may also have contributed. Similar results to those in (b) are obtained with other models with anthropogenic forcing."
117,2124,3,caption does not seem to provide a clear explanations,not_useful,Insufficient or Unclear Description,"Figure 2.37: Top figure, decadal variations in hurricanes making
landfall in the USA (updated from Karl et al., 1995). Bottom figure,
interannual variability in the number of major hurricanes (Saffir-
Simpson categories 3, 4, and 5) and the long-term average across the
North Atlantic (from Landsea et al., 1999). "
121,112,4,Clear takeaway was not given,not_useful,"""Missing or Unclear Takeaway Message""","Figure 3.19: Relationship between the stringency of the stabilization target (category I to VI) and 1) the time at which CO2 emissions have to peak (left-hand panel), and 2) the 
year when emissions return to present (2000) levels. "
124,126,4,Caption doesn't fully summarize the main trends,not_useful,**Missing or Unclear Takeaway Message**,"Figure 1.6: Comparison of global mean temperature anomalies (degF) from observations (through 2016) and the 
CMIP5 multimodel ensemble (through 2016), using the reference period 1901-1960. The CMIP5 multimodel 
ensemble (orange range) is constructed from blended surface temperature (ocean regions) and surface air tem-
perature (land regions) data from the models, masked where observations are not available in the GISTEMP data-
set.27 The importance of using blended model data is shown in Richardson et al.42 The thick solid orange curve 
is the model ensemble mean, formed from the ensemble across 36 models of the individual model ensemble 
means. The shaded region shows the +/- two standard deviation range of the individual ensemble member annual 
means from the 36 CMIP5 models. The dashed lines show the range from maximum to minimum values for each 
year among these ensemble members. The sources for the three observational indices are: HadCRUT4.5 (red): 
http://www.metoffice.gov.uk/hadobs/hadcrut4/data/current/download.html; NOAA (black): https://www.ncdc.noaa.
gov/monitoring-references/faq/anomalies.php; and GISTEMP (blue): https://data.giss.nasa.gov/pub/gistemp/gis-
temp1200_ERSSTv4.nc. (NOAA and HadCRUT4 downloaded on Feb. 15, 2017; GISTEMP downloaded on Feb. 
10, 2017). (Figure source: adapted from Knutson et al. 201627)."
128,304,3,"The caption is very wordy,",not_useful,"""Detailed but Overloaded with Information""","Figure 3.21 | The dependence of risks and/or impacts associated with the Reasons for Concern (RFCs) on the level of climate change, updated and adapted from WGII AR5 
Ch 19, Figure 19.4 and highlighting the nature of this dependence between 0degC and 2degC warming above pre-industrial levels. As in the AR5, literature was used to make 
expert judgements to assess the levels of global warming at which levels of impact and/or risk are undetectable (white), moderate (yellow), high (red) or very high (purple). 
The colour scheme thus indicates the additional risks due to climate change. The transition from red to purple, introduced for the first time in AR4, is defined by very high risk 
of severe impacts and the presence of significant irreversibility, or persistence of climate-related hazards combined with a limited ability to adapt due to the nature of the 
hazard or impact. Comparison of the increase of risk across RFCs indicates the relative sensitivity of RFCs to increases in GMST. As was done previously, this assessment takes 
autonomous adaptation into account, as well as limits to adaptation (RFC 1, 3, 5) independently of development pathway. The rate and timing of impacts were taken into 
account in assessing RFC 1 and 5. The levels of risk illustrated reflect the judgements of the Ch 3 authors. RFC1 Unique and threatened systems: ecological and human 
systems that have restricted geographic ranges constrained by climate related conditions and have high endemism or other distinctive properties. Examples include coral reefs, 
the Arctic and its indigenous people, mountain glaciers and biodiversity hotspots. RFC2 Extreme weather events: risks/impacts to human health, livelihoods, assets and 
ecosystems from extreme weather events such as heatwaves, heavy rain, drought and associated wildfires, and coastal flooding. RFC3 Distribution of impacts: risks/impacts 
that disproportionately affect particular groups due to uneven distribution of physical climate change hazards, exposure or vulnerability. RFC4 Global aggregate impacts: 
global monetary damage, global scale degradation and loss of ecosystems and biodiversity. RFC5 Large-scale singular events: are relatively large, abrupt and sometimes 
irreversible changes in systems that are caused by global warming. Examples include disintegration of the Greenland and Antarctic ice sheets. The grey bar represents the range 
of GMST for the most recent decade: 2006-2015."
135,330,3,"The chart a caption does not explain clearly the takeaway, chart b caption has mentioned the takeaway",not_useful,Missing or Unclear Takeaway Message,"Figure 7.11. (a) The Revelle factor (or buffer factor) as a function of CO2 partial pressure (for temperature 25degC, salinity 35 psu, and total alkalinity 2,300 umol kg-1) 
(Zeebe and Wolf-Gladrow, 2001, page 73; reprinted with permission, copyright 2001 Elsevier). (b) The geographical distribution of the buffer factor in ocean surface waters 
in 1994 (Sabine et al., 2004a; reprinted with permission, copyright 2004 American Association for the Advancement of Science). High values indicate a low buffer capacity 
of the surface waters."
136,380,4,"The caption is detailed, but does not provide the clear takeaway The caption is detailed,",not_useful,Missing or Unclear Takeaway Message,"Figure 5.22. Averages of temperature change (blue, from Levitus et al., 2005a), 
anthropogenic carbon (red, from Sabine et al., 2004b) and CFC-11 (green, from Willey et 
al., 2004) along lines of constant latitude over the top 700-m layer of the upper ocean. 
Also shown is sea level change averaged along lines of constant latitude (black, from 
Cazenave and Nerem, 2004). The temperature changes are for the 1955 to 2003 period, 
the anthropogenic carbon is since pre-industrial times (i.e., 1750), CFC-11 concentrations 
are for the period 1930 to 1994 and sea level for the period 1993 to 2003."
142,447,4,Detailed caption but the caption does not clear summarize the main takeaway Detailed caption the caption does not clear summarize the main takeaway,not_useful,Missing or Unclear Takeaway Message,"Figure 8.16 | Life cycle GHG emissions (excluding land use change) from a range of light 
duty vehicle types as a function of the GHG emission intensity of electricity generation 
systems using coal, natural gas or low-carbon technologies including nuclear and RE 
(Samaras and Meisterling, 2008)."
149,492,4,"Caption is very wordy,",not_useful,"""Detailed but Overloaded with Information""","Figure 4.2. Net carbon exchange of all terrestrial ecosystems as
simulated by the DGVM LPJ (Sitch et al., 2003; Gerten et al., 2004 -
negative values mean a carbon sink, positive values carbon losses to
the atmosphere). Past century data are based on observations and
climate model data were normalised to be in accord with these
observations for the 1961-1990 data (CRU-PIK). Transient future
projections are for the SRES A2 and B1 emissions scenarios
(Naki 'cenovi 'c et al., 2000), forcing the climate models HadCM3 and
ECHAM5, respectively (cf. Lucht et al., 2006; Schaphoff et al., 2006).
In contrast to previous global projections (Prentice et al., 2001 -
Figure 3.10), the world's ecosystems sink service saturates earlier
(about 2030) and the terrestrial biosphere tends to become a carbon
source earlier (about 2070) and more consistently, corroborating other
projections of increased forcing from biogenic terrestrial sources (e.g.,
Cox et al., 2000, 2004; White et al., 2000a; Lucht et al., 2006;
Schaphoff et al., 2006; Scholze et al., 2006; see Figure 4.3 for maps on
underlying ecosystem changes). Note that these projections assume
an effective CO2-fertilisation (see Section 4.4.1)."
159,643,3,caption do not summarize main trend,not_useful,Observed Pattern Not Explained,"Figure 14.3. Typical infrastructure lifetimes in North America (data from
Lewis, 1987; Bettigole, 1990; EIA, 1999, 2001; Statistics Canada, 2001a;
BEA, 2003), in relation to projected North American warming for 2000 to
2100 (relative to 1901-1950) for the A1B scenario, from the IPCC AR4
Multi-Model Dataset (yellow envelope). Measured and modelled
anomalies for 2000 are shown with black and orange bars, respectively.
Projected warming for 2091 to 2100 for the B1, A1B and A2 scenarios
are indicated by the blue, yellow and red bars, respectively at the right
(data from Christensen et al., 2007: Box 11.1 Figure 1)."
162,658,4,less caption is given,not_useful,Insufficient or Unclear Description,"Figure 3.20 | Expected cost decline for CSP plants from 2012 to 2025. The cost number includes the cost of the plant plus fi nancing (A.T. Kearney, 2010). As reduction ranges for cost, 
effi ciency and economies of scale in the right panel overlap, their total contribution in 2025 amounts to less than their overall total."
167,828,1,"The caption doesn't explain what the different colors mean, and doesn't explain the trend. ",not_useful,Insufficient or Unclear Description,"Figure 8.8. Annual mean, zonally averaged SST error, simulated minus observed 
climatology. The Hadley Centre Sea Ice and Sea Surface Temperature (HadISST; Rayner 
et al., 2003) observational climatology for 1980 to 1999 is the reference used here, and 
the model results are for the same period in the 20th-century simulations in the MMD 
at PCMDI. In the presence of sea ice, the SST is assumed to be at the freezing point of 
seawater. The legend identifying individual models appears in Figure 8.4."
171,839,2,Fluctuations are not clearly mentioned in the caption,not_useful,Insufficient or Unclear Description,"Figure 2.19: Reconstructed global ground temperature estimate from
borehole data over the past five centuries, relative to present day.
Shaded areas represent +- two standard errors about the mean history
(Pollack et al., 1998). Superimposed is a smoothed (five-year running
average) of the global surface air temperature instrumental record since
1860 (Jones and Briffa, 1992)."
198,1519,3,"The caption does provide detailed context about the data sources and methods, but does not clearly summarize the main takeaway or highlight the key trend.",not_useful,"""Missing or Unclear Takeaway Message""","Figure 2.17. Reconstructions of the total solar irradiance time series starting as 
early as 1600. The upper envelope of the shaded regions shows irradiance variations 
arising from the 11-year activity cycle. The lower envelope is the total irradiance 
reconstructed by Lean (2000), in which the long-term trend was inferred from bright-
ness changes in Sun-like stars. In comparison, the recent reconstruction of Y. Wang 
et al. (2005) is based on solar considerations alone, using a fl ux transport model to 
simulate the long-term evolution of the closed fl ux that generates bright faculae."
205,1715,4,detailed context add complexity making it somewhat confusing,not_useful,**Detailed but Overloaded with Information**,"Figure 2.23 | (a) The global primary energy supply from biomass in long-term scenarios; (b) global biofuels production in long-term scenarios reported in secondary energy terms of 
the delivered product (median, 25th to 75th percentile range and full range of scenario results; colour coding is based on categories of atmospheric CO2 concentration levels in 2100; 
the number of scenarios underlying the fi gure is indicated in the right upper corner) (adapted from Krey and Clarke, 2011). For comparison, the historic levels in 2008 are indicated 
by the small black arrows on the left axis. "
209,1718,3,The caption should be improved to explain the trend context,not_useful,Observed Pattern Not Explained,"Figure 9.15: Comparison of estimates of mitigation potential in previous IPCC 
reports (blue) and the current report (in red)."
218,1757,5,the caption should explain the trend,not_useful,Observed Pattern Not Explained,"Figure 3.1. Global GHG emissions (in GtCO2-eq per year) in the absence of
additional climate policies: six illustrative SRES marker scenarios (coloured
lines) and 80th percentile range of recent scenarios published since SRES
(post-SRES) (gray shaded area). Dashed lines show the full range of post-
SRES scenarios. The emissions include CO2, CH4, N2O and F-gases. {WGIII
1.3, 3.2, Figure SPM.4}"
237,1915,4,The caption is simple and does not fully explain the chart and also key takeaway could be stated in the caption,not_useful,Missing or Unclear Takeaway Message,"Figure 3.20. Linear trends in precipitable water (total column water vapour) in 
% per decade (top) and monthly time series of anomalies relative to the 1988 to 
2004 period in % over the global ocean plus linear trend (bottom), from RSS SSM/I 
(updated from Trenberth et al., 2005a). "
248,2016,4,The caption needs to be improved to explain the context and trend,not_useful,**Observed Pattern Not Explained**,"Figure 3.28. Pacifi c Decadal Oscillation: (top) SST based on the leading EOF SST 
pattern for the Pacifi c basin north of 20degN for 1901 to 2004 (updated; see Mantua et 
al., 1997; Power et al., 1999b) and projected for the global ocean (units are nondi-
mensional); and (bottom) annual time series (updated from Mantua et al., 1997). The 
smooth black curve shows decadal variations (see Appendix 3.A)."
250,2049,4,annotations might make it harder to interpret the small specific finding without any additional context,not_useful,Insufficient or Unclear Description,"Figure 1.2. Historical and recent measurements from Lake Tanganyika,
East Africa: (a) upper mixed layer (surface water) temperatures; (b) deep-
water (600 m) temperatures; (c) depth of the upper mixed layer. Triangles
represent data collected by a different method. Error bars represent
standard deviations. Reprinted by permission from Macmillan Publishers
Ltd. [Nature] (O'Reilly et al., 2003), copyright 2003."
256,2061,4,require more context for full understanding,not_useful,Insufficient or Unclear Description,"Figure 8.14 | Relative fuel economies of future alternative drive train light duty vehicles 
compared to advanced spark ignition, gasoline-fuelled, internal-combustion engine vehicles, 
based on several selected studies."
269,2357,5,caption should explain the trend better,not_useful,Observed Pattern Not Explained,"Figure 4.16. Changes in the surface area of tropical glaciers relative to their extent 
around 1900, grouped according to different glacier sizes. The sizes are given for 
1990 or the closest available date to 1990. The broken red line highlights the retreat 
of Kilimanjaro glaciers. The insert shows the area change (km2) of the Kilimanjaro 
plateau (red) and slope (purple) glaciers as separated by the 5,700 m contour 
line (Kaser and Osmaston, 2002 (updated courtesy of S. Lieb); Molg et al., 2003b; 
Georges, 2004; Hastenrath, 2005; Cullen et al., 2006; Klein and Kincaid, 2006)."
281,184,4,The caption doesn't describe the trend well,not_useful,**Insufficient or Unclear Description**,"Figure 3.10 | Probability ratio (PR) of exceeding (heavy precipitation) thresholds. (a) PR of exceeding the 99th (blue) and 99.9th (red) percentile of pre-industrial daily 
precipitation at a given warming level, averaged across land (from Fischer and Knutti, 2015). (b) PR for precipitation extremes (RX1day) for different event probabilities (with RV 
indicating return values) in the current climate (1degC of global warming). Shading shows the interquartile (25-75%) range (from Kharin et al., 2018)."
284,220,4,The caption is very wordy and doesn't explain the trend present in the graphs.,not_useful,Observed Pattern Not Explained,"Figure 6.15 Estimated volume of pH perturbations at global scale for hypothetical examples in which injection of CO2 into the ocean interior 
provides 100% or 10% of the mitigation effort needed to move from a logistic emissions curve cumulatively releasing 18,000 GtCO2 (=5000 
GtC) to emissions consistent with atmospheric CO2 stabilization at 550 ppm according to the WRE550 pathway (Wigley et al., 1996). The curves 
show the simulated fraction of ocean volume with a pH reduction greater than the amount shown on the horizontal axis. For the 10% case, in year 
2100, injection rates are high and about1% of the ocean volume has significant pH reductions; in year 2300, injection rates are low, but previously 
injected CO2 has decreased ocean pH by about 0.1 unit below the value produced by a WRE550 atmospheric CO2 pathway in the absence of CO2 
release directly to the ocean (Caldeira and Wickett, 2005)."
303,1143,1,"There is no clear explanation about the comparison between the trend lines, and no takeaway can be taken from caption",not_useful,"""Missing or Unclear Takeaway Message""","Figure 6.5: Reconstructions of total solar irradiance (TSI) by Lean et
al. (1995, solid red curve), Hoyt and Schatten (1993, data updated by
the authors to 1999, solid black curve), Solanki and Fligge (1998,
dotted blue curves), and Lockwood and Stamper (1999, heavy dash-
dot green curve); the grey curve shows group sunspot numbers (Hoyt
and Schatten, 1998) scaled to Nimbus-7 observations for 1979 to 1993."
310,213,2,Caption does not fully summarize the main points,not_useful,"""Missing or Unclear Takeaway Message""","Figure 3.20: Relationship between required cumulative emissions reduction and carbon emissions in the baseline by 2030 (left-hand panel) and 2100 (right-hand panel). 
Notes: Coloured rectangles denote individual scenarios for alternative stabilization targets (categories I to VI). The large triangles indicate the averages for each 
category. "
317,604,3,"The caption is very long-winded,",not_useful,Detailed but Overloaded with Information,"Figure 2.3 | Temperature changes from 1850-1900 versus cumulative CO2 emissions since 1st January 1876. Solid lines with dots reproduce the globally 
averaged near-surface air temperature response to cumulative CO2 emissions plus non-CO2 forcers as assessed in Figure SPM10 of WGI AR5, except that points marked with 
years relate to a particular year, unlike in WGI AR5 Figure SPM.10, where each point relates to the mean over the previous decade. The AR5 data was derived from 15 Earth 
system models and 5 Earth system models of Intermediate Complexity for the historic observations (black) and RCP8.5 scenario (red), and the red shaded plume shows the 
range across the models as presented in the AR5. The purple shaded plume and the line are indicative of the temperature response to cumulative CO2 emissions and non-CO2 
warming adopted in this report. The non-CO2 warming contribution is averaged from the MAGICC and FAIR models, and the purple shaded range assumes the AR5 WGI TCRE 
distribution (Supplementary Material 2.SM.1.1.2). The 2010 observation of surface temperature change (0.97degC based on 2006-2015 mean compared to 1850-1900, Chapter 
1, Section 1.2.1) and cumulative carbon dioxide emissions from 1876 to the end of 2010 of 1,930 GtCO2 (Le Quere et al., 2018) is shown as a filled purple diamond. The value 
for 2017 based on the latest cumulative carbon emissions up to the end of 2017 of 2,220 GtCO2 (Version 1.3 accessed 22 May 2018) and a surface temperature anomaly of 
1.1degC based on an assumed temperature increase of 0.2degC per decade is shown as a hollow purple diamond. The thin blue line shows annual observations, with CO2 emissions 
from Le Quere et al. (2018) and estimated globally averaged near-surface temperature from scaling the incomplete coverage and blended HadCRUT4 dataset in Chapter 1. The 
thin black line shows the CMIP5 multimodel mean estimate with CO2 emissions also from (Le Quere et al., 2018). The thin black line shows the GMST historic temperature trends 
from Chapter 1, which give lower temperature changes up to 2006-2015 of 0.87degC and would lead to a larger remaining carbon budget. The dotted black lines illustrate the 
remaining carbon budget estimates for 1.5degC given in Table 2.2. Note these remaining budgets exclude possible Earth system feedbacks that could reduce the budget, such as 
CO2 and CH4 release from permafrost thawing and tropical wetlands (see Section 2.2.2.2)."
327,846,1,There is no clear explanation about the chart and also no clear takeaway mentioned in the caption.,not_useful,"""Missing or Unclear Takeaway Message""","Figure 10.18 | Regional breakdown of possible energy demand and RE potential deployment for the selected set of four scenarios in 2050 (direct equivalent). Sources: IEA-WEO2009-
Baseline (IEA, 2009; Teske et al., 2010), ReMIND-RECIPE (Luderer et al., 2009), MiniCAM-EMF22 (Calvin et al., 2009), ER-2010 (Teske et al., 2010). For comparison, total primary 
energy demand in 2007 is given (IEA, 2009)."
