image_id,l1_l4_vector,keyword_vector,domain,chart_type,views,clarity,complexity,mean_rating,sentence_count
112,"[0, 0, 1.0, 0.0]","[1, 0, 0, 0, 2, 2]",Energy,Bar Graph,composite views,Low Clarity,High Complexity,2.5,1
126,"[2, 1, 2.0, 4.0]","[9, 5, 7, 4, 1, 10]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,2.5,9
139,"[0, 0, 0.0, 3.0]","[2, 0, 0, 1, 1, 5]",Climate Science,Bar Graph,composite views,Low Clarity,Low Complexity,3.0,3
148,"[2, 0, 2.0, 4.0]","[3, 7, 4, 0, 6, 28]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,3.0,8
149,"[1, 0, 0.0, 1.0]","[1, 0, 0, 1, 5, 1]",Climate Science,Scatter Plot,single view,Low Clarity,High Complexity,2.5,2
152,"[0, 0, 3.0, 3.0]","[1, 1, 1, 4, 7, 6]",Energy,Line Chart,composite views,Low Clarity,High Complexity,2.5,7
184,"[0, 1, 2.0, 1.0]","[2, 3, 3, 0, 4, 2]",Climate Science,Line Chart,composite views,Low Clarity,High Complexity,2.0,4
188,"[0, 0, 2.0, 1.0]","[1, 2, 1, 0, 1, 5]",Energy,Line Chart,composite views,Low Clarity,High Complexity,2.5,4
196,"[3, 0, 1.0, 1.0]","[7, 0, 5, 0, 7, 2]",Climate Science,Bar Graph,single view,Low Clarity,High Complexity,3.5,5
203,"[0, 1, 4.0, 2.0]","[8, 0, 5, 5, 8, 2]",Climate Science,Bar Graph,single view,Low Clarity,High Complexity,2.5,7
213,"[3, 0, 0.0, 0.0]","[2, 0, 2, 0, 4, 4]",Energy,Scatter Plot,composite views,Low Clarity,High Complexity,1.5,3
220,"[0, 1, 1.0, 1.0]","[3, 0, 3, 0, 10, 3]",Energy,Line Chart,composite views,Low Clarity,High Complexity,3.5,3
236,"[4, 1, 1.0, 3.0]","[3, 9, 11, 2, 8, 25]",Energy,Bar Graph,single view,Low Clarity,High Complexity,2.5,9
242,"[2, 0, 1.0, 1.0]","[2, 2, 0, 1, 2, 14]",Energy,Line Chart,single view,Low Clarity,High Complexity,2.0,4
290,"[1, 0, 5.0, 2.0]","[0, 0, 8, 2, 7, 7]",Energy,Bar Graph,composite views,High Clarity,High Complexity,2.5,8
