,image_id,Rater,Rating,Group
0,1626,Annotator_1,3,PhD
1,1178,Annotator_1,4,PhD
2,1453,Annotator_1,2,PhD
3,1946,Annotator_1,2,PhD
4,1979,Annotator_1,2,PhD
5,1718,Annotator_1,2,PhD
6,2050,Annotator_1,5,PhD
7,604,Annotator_1,3,PhD
8,690,Annotator_1,2,PhD
9,1295,Annotator_1,4,PhD
10,139,Annotator_1,4,PhD
11,909,Annotator_1,3,PhD
12,2220,Annotator_1,1,PhD
13,846,Annotator_1,2,PhD
14,676,Annotator_1,3,PhD
15,1294,Annotator_1,2,PhD
16,1112,Annotator_1,1,PhD
17,2049,Annotator_1,2,PhD
18,1845,Annotator_1,2,PhD
19,407,Annotator_1,3,PhD
20,2215,Annotator_1,2,PhD
21,1917,Annotator_1,2,PhD
22,1601,Annotator_1,5,PhD
23,1626,Annotator_2,2,PhD
24,1178,Annotator_2,3,PhD
25,1453,Annotator_2,3,PhD
26,1946,Annotator_2,3,PhD
27,1979,Annotator_2,3,PhD
28,1718,Annotator_2,2,PhD
29,2050,Annotator_2,2,PhD
30,604,Annotator_2,4,PhD
31,690,Annotator_2,3,PhD
32,1295,Annotator_2,1,PhD
33,139,Annotator_2,2,PhD
34,909,Annotator_2,3,PhD
35,2220,Annotator_2,4,PhD
36,846,Annotator_2,1,PhD
37,676,Annotator_2,4,PhD
38,1294,Annotator_2,4,PhD
39,1112,Annotator_2,2,PhD
40,2049,Annotator_2,2,PhD
41,1845,Annotator_2,4,PhD
42,407,Annotator_2,5,PhD
43,2215,Annotator_2,4,PhD
44,1917,Annotator_2,3,PhD
45,1601,Annotator_2,5,PhD
46,1626,Annotator_3,4,UG
47,1178,Annotator_3,1,UG
48,1453,Annotator_3,4,UG
49,1946,Annotator_3,1,UG
50,1979,Annotator_3,4,UG
51,1718,Annotator_3,4,UG
52,2050,Annotator_3,2,UG
53,604,Annotator_3,2,UG
54,690,Annotator_3,5,UG
55,1295,Annotator_3,5,UG
56,139,Annotator_3,5,UG
57,909,Annotator_3,1,UG
58,2220,Annotator_3,4,UG
59,846,Annotator_3,2,UG
60,676,Annotator_3,2,UG
61,1294,Annotator_3,1,UG
62,1112,Annotator_3,2,UG
63,2049,Annotator_3,4,UG
64,1845,Annotator_3,4,UG
65,407,Annotator_3,3,UG
66,2215,Annotator_3,2,UG
67,1917,Annotator_3,2,UG
68,1601,Annotator_3,5,UG
69,1626,Annotator_4,5,UG
70,1178,Annotator_4,2,UG
71,1453,Annotator_4,5,UG
72,1946,Annotator_4,4,UG
73,1979,Annotator_4,5,UG
74,1718,Annotator_4,3,UG
75,2050,Annotator_4,4,UG
76,604,Annotator_4,3,UG
77,690,Annotator_4,5,UG
78,1295,Annotator_4,5,UG
79,139,Annotator_4,4,UG
80,909,Annotator_4,4,UG
81,2220,Annotator_4,3,UG
82,846,Annotator_4,5,UG
83,676,Annotator_4,2,UG
84,1294,Annotator_4,1,UG
85,1112,Annotator_4,1,UG
86,2049,Annotator_4,4,UG
87,1845,Annotator_4,4,UG
88,407,Annotator_4,3,UG
89,2215,Annotator_4,4,UG
90,1917,Annotator_4,3,UG
91,1601,Annotator_4,5,UG
