reason_id,image_id,rating,reason,usefulness,cluster
20,765,2,Caption does not provide any context or takeaway message . Caption does not describe observed patterns .,not_useful,2
22,859,3,Caption does not add any value .,not_useful,2
49,112,4,Clear takeaway was not given,not_useful,3
50,126,4,Caption does n't fully summarize the main trends .,not_useful,4
56,447,4,Detailed caption but the caption does not clear summarize the main takeaway .,not_useful,2
62,643,4,labeled .,not_useful,3
83,1777,4,it can take a while to understand the context about the takeaway .,not_useful,3
97,2074,2,Caption does not give the necessary context . Takeaway message is not clearly mentioned in the caption .,not_useful,2
99,2138,2,Caption mentions source of the but is not a valuable information .,not_useful,2
120,149,1,the context required to understand the annotations are not given in the caption . Difficult to connect caption to the chart .,not_useful,2
121,152,1,is not mentioned in the caption . The caption also does not summarize the takeaway message .,not_useful,2
122,188,2,caption does not explain the trend so the takeaway message is not clear .,not_useful,4
123,213,2,Caption does not fully summarize the main points .,not_useful,2
125,292,2,Caption does not summarize the main trends .,not_useful,4
139,1510,2,The caption provides little information about the main takeaway .,not_useful,2
148,2050,2,The caption does n't summarize the main trend .,not_useful,4
149,2105,2,Although the caption explains what the lines mean it is still hard to get an overall picture of the main trend .,not_useful,0
151,2254,2,"The caption is too long ,",not_useful,1
153,2276,2,The caption also does not summarize the main trend .,not_useful,4
161,909,1,"Caption is too long ,",not_useful,1
172,1294,1,"The caption is too detailed ,",not_useful,1
195,1465,4,The caption does not state the takeaway message .,not_useful,2
197,1581,3,Caption does not clearly mention the key takeaway message .,not_useful,2
198,1917,3,Caption explains the methodology but not bserved patterns of takeaway message . Context must be present in the cantion to understand the visualization .,not_useful,2
199,2211,2,Caption is lengthy without a clear takeaway message .,not_useful,1
0,82,4,The caption is a little unclear and,not_useful,1
2,148,4,the caption can be improved to be more straight - forward .,not_useful,2
5,290,4,the caption is very wordy .,not_useful,1
8,324,5,the caption can do better at explaining the trend .,not_useful,4
9,332,4,"The caption does n't explain the second graph well ,",not_useful,0
20,765,2,Caption does not provide any context or takeaway message . Caption does not describe observed patterns .,not_useful,2
22,859,4,Caption does not add any value .,not_useful,2
25,937,4,titles are hard to read .,not_useful,3
35,1711,4,"The caption can better by explaining the trend ,",not_useful,4
43,1945,4,the caption should include more context for the situation and,not_useful,2
47,2129,5,the caption needs to explain the trend and context more .,not_useful,4
50,126,3,the captions are very long - winded .,not_useful,1
51,304,3,"The caption is very wordy ,",not_useful,1
58,492,4,"Caption is very wordy ,",not_useful,1
68,1006,2,"The caption should explain the trend better ,",not_useful,0
78,1715,5,the caption can be better at explaining the context .,not_useful,2
79,1718,3,The caption should be improved to explain the trend and,not_useful,4
82,1757,5,the caption should explain the trend .,not_useful,0
92,2016,4,The caption needs to be improved to explain the context and,not_useful,2
94,2054,5,the caption can be better .,not_useful,1
97,2074,3,Caption does not give the necessary context . Takeaway message is not clearly mentioned in the caption .,not_useful,2
99,2138,2,Caption mentions source of the but is not a valuable information .,not_useful,2
101,2271,5,The captions and,not_useful,2
105,2357,5,caption should explain the trend better .,not_useful,0
110,184,4,The caption does n't describe the trend well .,not_useful,0
111,220,4,The caption is very wordy and,not_useful,1
120,149,2,the context required to understand the annotations are not given in the caption . Difficult to connect caption to the chart .,not_useful,2
122,188,3,caption does not explain the trend so the takeaway message is not clear .,not_useful,4
123,213,2,"The caption does n't describe the trend ,",not_useful,0
126,413,1,"The caption does n't explain what each line represents ,",not_useful,2
128,604,3,"The caption is very long - winded ,",not_useful,1
130,758,2,"labels ,",not_useful,3
135,1112,1,"The caption does n't explain the graph well ,",not_useful,0
148,2050,4,"The caption should explain the context better ,",not_useful,2
153,2276,4,"The caption does n't explain the trend of the graphs well ,",not_useful,0
155,2327,4,the caption should explain the trend .,not_useful,0
157,2194,5,"The caption is very lengthy ,",not_useful,1
160,242,3,the caption does n't explain the trend .,not_useful,0
161,909,4,the caption can be more straight to the point .,not_useful,2
163,1068,1,"The caption does n't explain the trend ,",not_useful,0
166,1177,1,it has no structure .,not_useful,3
167,1178,2,"The caption can better explain the trend ,",not_useful,0
171,1246,1,"The caption can better explain the trend ,",not_useful,0
172,1294,1,"The caption can explain the trend better ,",not_useful,0
182,2018,2,The caption should explain the trend better .,not_useful,0
183,2025,1,The caption should explain the trend better .,not_useful,0
184,2052,1,The caption does n't explain the context or trend .,not_useful,0
190,2293,1,"The caption should explain the trend better between the different simulations ,",not_useful,0
191,2364,2,"The caption does n't explain the context or trend well ,",not_useful,0
194,1225,1,The caption does not provide information required to understand the visible patterns . Caption provides context of the graph through data description but,not_useful,2
195,1465,4,The caption does not state the takeaway message .,not_useful,2
197,1581,3,Caption does not clearly mention the key takeaway message .,not_useful,2
198,1917,2,Caption explains the methodology but not bserved patterns of takeaway message . Context must be present in the cantion to understand the visualization .,not_useful,2
199,2211,2,Caption is lengthy without a clear takeaway message .,not_useful,1
4,203,2,"The caption is very lengthy ,",not_useful,1
5,290,3,the caption is too large .,not_useful,1
6,2289,4,Caption can be shortened,not_useful,1
10,337,2,Caption is too long and,not_useful,1
18,660,4,Large caption .,not_useful,1
20,765,4,caption is too large,not_useful,1
26,994,3,Caption is too big,not_useful,1
39,1779,5,The caption is too big .,not_useful,1
44,2062,4,Caption can be improved,not_useful,1
50,126,4,the caption is too large .,not_useful,1
51,304,2,the caption is too long,not_useful,1
52,317,4,The caption quality is not up to the mark,not_useful,1
60,614,3,The caption is also too large .,not_useful,1
81,1755,4,The caption can be improved,not_useful,1
86,1874,4,The caption is too big,not_useful,1
90,1947,3,The caption is too large,not_useful,1
116,1011,4,Caption can be improved,not_useful,1
124,236,2,"The caption is too lengthy ,",not_useful,1
128,604,3,the caption is too big,not_useful,1
129,676,3,caption is monotonous,not_useful,1
130,758,3,also the caption is monotonous,not_useful,1
147,1911,4,The caption can be improved,not_useful,1
161,909,3,The caption is too large,not_useful,1
170,1232,2,also the caption is too large,not_useful,1
177,1946,2,the caption is unnecessarily large,not_useful,1
182,2018,4,Caption can be shortened,not_useful,1
184,2052,3,The caption should be more informative .,not_useful,2
188,2163,3,caption seems a bit long with irrelevant information,not_useful,1
192,869,2,"Too large caption ,",not_useful,1
195,1465,2,The caption should contain more information,not_useful,1
1,139,2,Caption does not summarize main trend,not_useful,4
8,324,4,Caption does not summarize main trend,not_useful,4
28,1081,5,The caption does not fully say the chart,not_useful,2
49,112,3,Caption does not summarize main trend,not_useful,4
54,380,4,Caption does not summarize main trend,not_useful,4
62,643,3,caption do not summarize main trend .,not_useful,4
67,904,3,caption does not summarize main trend,not_useful,4
71,1388,5,caption does not summarize well,not_useful,1
72,1428,5,Caption does not summarize main trend,not_useful,4
73,1453,4,labels are not mentioned both in caption and,not_useful,2
79,1718,2,"The caption does not summarize main trend ,",not_useful,4
107,2220,5,The caption is not summarizing the chart,not_useful,2
108,2223,4,The caption is not summarizing charts well,not_useful,2
126,413,5,Caption does not summarize main trend,not_useful,4
131,846,4,caption is unclear,not_useful,1
145,1802,2,caption it is not clear .,not_useful,2
151,2254,2,no label mentioned what color means,not_useful,3
174,1576,2,Caption have too many citations lost while reading caption and,not_useful,2
