image_id,interpretability_rating_u_res1,interpretability_rating_u_res2,mean_rating
139.0,5,4,4.5
148.0,5,4,4.5
203.0,5,4,4.5
2289.0,5,5,5.0
2360.0,5,4,4.5
324.0,5,5,5.0
332.0,5,4,4.5
337.0,5,5,5.0
339.0,5,4,4.5
436.0,5,4,4.5
497.0,5,5,5.0
502.0,5,5,5.0
572.0,5,5,5.0
610.0,5,4,4.5
660.0,5,4,4.5
690.0,5,5,5.0
790.0,5,5,5.0
920.0,5,5,5.0
937.0,5,4,4.5
994.0,5,5,5.0
999.0,5,5,5.0
1081.0,5,5,5.0
1251.0,5,5,5.0
1277.0,5,4,4.5
1285.0,5,5,5.0
1295.0,5,5,5.0
1303.0,5,5,5.0
1601.0,5,5,5.0
1711.0,5,4,4.5
1712.0,5,5,5.0
1761.0,5,5,5.0
1779.0,5,5,5.0
1803.0,5,5,5.0
1818.0,5,5,5.0
1839.0,5,5,5.0
1945.0,5,4,4.5
2062.0,5,5,5.0
2065.0,5,5,5.0
2124.0,5,5,5.0
2218.0,5,4,4.5
112.0,4,2,3.0
126.0,4,3,3.5
304.0,4,3,3.5
317.0,4,5,4.5
330.0,4,5,4.5
380.0,4,3,3.5
433.0,4,5,4.5
447.0,4,5,4.5
491.0,4,5,4.5
492.0,4,4,4.0
614.0,4,3,3.5
639.0,4,5,4.5
643.0,4,3,3.5
658.0,4,5,4.5
736.0,4,4,4.0
828.0,4,1,2.5
839.0,4,5,4.5
904.0,4,5,4.5
1006.0,4,2,3.0
1044.0,4,5,4.5
1301.0,4,4,4.0
1388.0,4,5,4.5
1428.0,4,4,4.0
1453.0,4,5,4.5
1499.0,4,5,4.5
1519.0,4,5,4.5
1626.0,4,5,4.5
1697.0,4,4,4.0
1715.0,4,5,4.5
1718.0,4,3,3.5
1726.0,4,5,4.5
1755.0,4,5,4.5
1757.0,4,5,4.5
1777.0,4,5,4.5
1790.0,4,4,4.0
1861.0,4,5,4.5
1874.0,4,5,4.5
1894.0,4,5,4.5
1915.0,4,4,4.0
1925.0,4,4,4.0
1947.0,4,5,4.5
1979.0,4,5,4.5
2016.0,4,4,4.0
2049.0,4,4,4.0
2054.0,4,5,4.5
2061.0,4,4,4.0
2071.0,4,4,4.0
2271.0,4,5,4.5
2356.0,4,4,4.0
2357.0,4,5,4.5
2213.0,4,5,4.5
2220.0,4,3,3.5
2223.0,4,4,4.0
184.0,3,4,3.5
220.0,3,4,3.5
297.0,3,5,4.0
407.0,3,3,3.0
494.0,3,2,2.5
754.0,3,5,4.0
1011.0,3,5,4.0
1143.0,3,2,2.5
1215.0,3,5,4.0
1439.0,3,5,4.0
213.0,2,2,2.0
236.0,2,2,2.0
604.0,2,3,2.5
676.0,2,2,2.0
758.0,2,2,2.0
846.0,2,5,3.5
898.0,2,5,3.5
998.0,2,5,3.5
1100.0,2,2,2.0
1112.0,2,1,1.5
1153.0,2,4,3.0
1206.0,2,5,3.5
1400.0,2,1,1.5
1510.0,2,5,3.5
1615.0,2,4,3.0
1633.0,2,4,3.0
1659.0,2,1,1.5
1748.0,2,4,3.0
1750.0,2,5,3.5
1802.0,2,4,3.0
1838.0,2,5,3.5
1911.0,2,4,3.0
2050.0,2,4,3.0
2105.0,2,5,3.5
2125.0,2,5,3.5
2254.0,2,4,3.0
2262.0,2,4,3.0
2276.0,2,4,3.0
2300.0,2,5,3.5
2327.0,2,4,3.0
2152.0,2,5,3.5
2194.0,2,5,3.5
2215.0,2,4,3.0
242.0,1,3,2.0
909.0,1,4,2.5
950.0,1,1,1.0
1068.0,1,1,1.0
1087.0,1,4,2.5
1146.0,1,4,2.5
1177.0,1,1,1.0
1178.0,1,2,1.5
1192.0,1,5,3.0
1205.0,1,2,1.5
1232.0,1,1,1.0
1246.0,1,1,1.0
1294.0,1,1,1.0
1326.0,1,1,1.0
1576.0,1,1,1.0
1751.0,1,4,2.5
1821.0,1,2,1.5
1946.0,1,4,2.5
1953.0,1,4,2.5
1963.0,1,4,2.5
2007.0,1,5,3.0
2008.0,1,4,2.5
2052.0,1,1,1.0
2074.0,2,3,2.5
2103.0,2,1,1.5
2138.0,2,2,2.0
2141.0,3,4,3.5
2348.0,3,2,2.5
2354.0,4,4,4.0
2251.0,1,1,1.0
149.0,1,2,1.5
152.0,1,1,1.0
188.0,2,3,2.5
196.0,4,4,4.0
290.0,4,4,4.0
650.0,5,5,5.0
765.0,2,2,2.0
859.0,3,4,3.5
882.0,4,3,3.5
547.0,3,2,2.5
292.0,2,3,2.5
413.0,2,2,2.0
442.0,2,1,1.5
2018.0,4,3,3.5
2025.0,2,1,1.5
2060.0,4,5,4.5
2064.0,2,2,2.0
2117.0,3,4,3.5
2163.0,4,4,4.0
2253.0,4,4,4.0
2293.0,4,3,3.5
2364.0,2,3,2.5
869.0,3,3,3.0
1214.0,4,4,4.0
1225.0,1,1,1.0
1465.0,4,4,4.0
1503.0,4,4,4.0
1581.0,3,3,3.0
1917.0,2,3,2.5
2211.0,2,2,2.0
2028.0,3,4,3.5
1845.0,4,4,4.0
1949.0,2,2,2.0
1749.0,4,4,4.0
