reason_id,image_id,rating,reason,usefulness,feature
3,139,2,"The caption is detailed and provides important context, does not clearly summarize the main takeaway",not_useful,**Missing or Unclear Takeaway Message**
5,148,4,the caption can be improved to be more straight-forward,neutral,Insufficient or Unclear Description
6,148,3,the caption is long and complex without clear summary of the main takeaway. It makes it difficult to grasp the key message.,not_useful,Missing or Unclear Takeaway Message
9,203,3,The caption provides a lot of context but not summarizing the main takeaway or highlighting the important parts.,not_useful,Missing or Unclear Takeaway Message
13,2360,5,see the main trends without looking at the caption,neutral,Observed Pattern Not Explained
14,2360,4,"The caption explains the graph markings not the trend,",not_useful,"""Insufficient or Unclear Description"""
15,2360,4,"the caption does not fully summarize the main trend, the caption is informative it does not have a clear takeaway",not_useful,Missing or Unclear Takeaway Message
16,324,5,Caption summarizes the main trend,useful,Clear and Good Quality
17,324,5,the caption can do better at explaining the trend,not_useful,Observed Pattern Not Explained
18,324,1,Caption does not seem to be helping here to understand,not_useful,Insufficient or Unclear Description
20,332,4,"The caption doesn't explain the second graph well,",not_useful,Insufficient or Unclear Description
21,332,1,the caption does not clearly summarize the chart,not_useful,"""Missing or Unclear Takeaway Message"""
22,337,5,Detailed caption that provides the main key takeaway,useful,**Clear and Good Quality**
23,337,5,caption are understandable,neutral,Label: Clear and Good Quality
25,339,5,Detailed caption,neutral,**Detailed and Informative**
27,339,4,caption does not add any value in explaining the trend or describing the chart,not_useful,Insufficient or Unclear Description
28,436,5,detailed caption that includes the symbols and lines (shown in chart) Clear representations with detailed caption that includes the symbols,useful,"""Detailed and Informative"""
29,436,4,"The caption explains the graph,",neutral,Detailed and Informative
30,436,2,"The chart and caption does not mention about the extra dots between the years, where caption specifies it as annual mean, but not clear",not_useful,Insufficient or Unclear Description
33,497,3,"The caption does not specify the trend, and only explain about the labels.",not_useful,Insufficient or Unclear Description
37,572,5,caption summarizes main takeaway,useful,**Missing or Unclear Takeaway Message**
38,572,5,the caption can be less wordy,neutral,"""Detailed but Overloaded with Information"""
39,572,4,"The caption explains about the chart, but there is no clear takeaway mentioned.",neutral,"""Missing or Unclear Takeaway Message"""
40,610,5,the caption is informative . the caption is informative,neutral,Detailed and Informative
41,610,4,The caption doesn't explain the trend present in the graph,not_useful,**Observed Pattern Not Explained**
43,660,5,The detailed caption provides a clear takeaway,useful,**Clear and Good Quality**
46,690,5,The caption helps with interpretation of the chart,useful,Clear and Good Quality
48,690,3,"caption is useful to interpret the result, but it lacks mentionining some trends about the labels observed.",useful,Insufficient or Unclear Description
51,790,2,Clear explanations are not provided in the captions,not_useful,"""Missing or Unclear Takeaway Message"""
52,920,5,caption summarizes the main trend,useful,"""Clear and Good Quality"""
54,920,1,The caption does not mention the goal of the chart/ takeaway. It mentions what is mentioned in the charts,not_useful,"""Missing or Unclear Takeaway Message"""
55,937,5,detailed caption,neutral,"""Detailed and Informative"""
57,937,4,The caption does not mention about the trend having the labels little unclear,not_useful,Insufficient or Unclear Description
58,994,5,detailed caption,neutral,"""Detailed and Informative"""
60,994,4,Caption summarize the chart,neutral,"""Missing or Unclear Takeaway Message"""
63,999,4,Require both caption,neutral,Insufficient or Unclear Description
64,1081,5,understand the main takeaway by reading the caption,neutral,Missing or Unclear Takeaway Message
66,1081,4,"The caption does not fully say the about the chart, but mentions some part of trend",not_useful,Insufficient or Unclear Description
69,1251,3,"The caption does not state any trends in the chart, and no clear takeaways",not_useful,"""Missing or Unclear Takeaway Message"""
70,1277,5,the caption provides good details to interpret the graph,useful,Detailed and Informative
71,1277,4,"The caption can better explain the trend,",neutral,Observed Pattern Not Explained
72,1277,2,"Require caption just to read the y-axis label, there are no clear takeaway mentioned",not_useful,"""Insufficient or Unclear Description"""
73,1285,5,The caption provides detailed context explaining the CI and data source The caption provides detailed context explaining the CI,useful,Detailed and Informative
76,1295,5,The caption provides detailed context explaining the CI and data source The caption provides detailed context explaining the CI,useful,**Detailed and Informative**
79,1303,5,The captions explains the main trend and the graph is easy to interpret The captions explains the main trend,useful,**Clear and Good Quality**
84,1601,5,caption augments with chart,neutral,Insufficient or Unclear Description
86,1711,4,"The caption can better by explaining the trend,",not_useful,Observed Pattern Not Explained
87,1711,3,captions require some effort to get some message,neutral,Insufficient or Unclear Description
90,1712,4,"Caption provides useful context about the data and methodology, it is somewhat dense and does not clearly summarize the main takeaway.",useful,"""Missing or Unclear Takeaway Message"""
93,1761,4,"Though the caption clearly explains about the what is being measured and how the data compiled, but it does not clearly summarize the main takeaway or highlight the important trends.",not_useful,Missing or Unclear Takeaway Message
94,1779,5,The chart's caption is long but includes an overview of the data,neutral,Detailed and Informative
96,1779,4,caption does not fully capture the summary of the chart,not_useful,Insufficient or Unclear Description
99,1803,4,"the caption provides details about the terms and data, but does not fully give the main takeaway",useful,**Missing or Unclear Takeaway Message**
100,1818,5,"Clear takeaway with detailed context, making it easy to interpret",useful,**Detailed and Informative**
103,1839,5,The caption also provides detailed context about the source data,useful,Detailed and Informative
105,1839,4,Caption represent some details but not fully summarize the trend,not_useful,Insufficient or Unclear Description
107,1945,4,the caption should include more context for the situation and trend.,useful,Insufficient or Unclear Description
108,1945,3,the caption can be more informative and also express trends in the chart,useful,Insufficient or Unclear Description
109,2062,5,"Although the caption is long, it expands on each of the studies making it easier to understand the main takeaway",useful,Detailed but Overloaded with Information
111,2062,3,caption does mention the terms it does not mention any takeaway message,not_useful,Missing or Unclear Takeaway Message
117,2124,3,caption does not seem to provide a clear explanations,not_useful,Insufficient or Unclear Description
121,112,4,Clear takeaway was not given,not_useful,"""Missing or Unclear Takeaway Message"""
123,112,3,The caption does not explain any trends observed in the charts,not_useful,Observed Pattern Not Explained
124,126,4,Caption doesn't fully summarize the main trends,not_useful,**Missing or Unclear Takeaway Message**
125,126,3,the captions are very long-winded,not_useful,Detailed but Overloaded with Information
128,304,3,"The caption is very wordy,",not_useful,"""Detailed but Overloaded with Information"""
130,317,4,The caption provides details information about the chart,useful,Detailed and Informative
132,317,3,"The caption only explains about the labels inside the chart, but it is not clearly stating the trend and what should be interpreted.",not_useful,Insufficient or Unclear Description
135,330,3,"The chart a caption does not explain clearly the takeaway, chart b caption has mentioned the takeaway",not_useful,Missing or Unclear Takeaway Message
136,380,4,"The caption is detailed, but does not provide the clear takeaway The caption is detailed,",not_useful,Missing or Unclear Takeaway Message
138,380,3,The caption does not summarize chart main trend,not_useful,"""Missing or Unclear Takeaway Message"""
139,433,4,the caption explains what the different lines mean along with providing detailed information,useful,**Detailed and Informative**
140,433,5,the caption are easy to understand,useful,"""Clear and Good Quality"""
141,433,3,"The caption provides an explanation about the lines, but does not clearly explain the comparison between the trends.",not_useful,Observed Pattern Not Explained
142,447,4,Detailed caption but the caption does not clear summarize the main takeaway Detailed caption the caption does not clear summarize the main takeaway,not_useful,Missing or Unclear Takeaway Message
144,447,3,The labels are not explained in caption,not_useful,Insufficient or Unclear Description
145,491,4,Caption provides a good explanation for what the dots mean. Caption provides a good explanation for what the dots mean. The use of labels helps in understanding the main takeaways,useful,**Clear and Good Quality**
148,492,4,detailed caption,neutral,Detailed and Informative
149,492,4,"Caption is very wordy,",not_useful,"""Detailed but Overloaded with Information"""
150,492,4,"caption clearly explain the labels used, caption is lost in translation",neutral,"""Caption Clarity Lost in Translation"""
152,614,3,"The caption explains the situation,",neutral,Detailed and Informative
154,639,4,The caption provides the main takeaways,useful,**Clear and Good Quality**
157,643,4,The different bars in the chart are not easy to comprehend without reading the captions,neutral,Insufficient or Unclear Description
159,643,3,caption do not summarize main trend,not_useful,Observed Pattern Not Explained
162,658,4,less caption is given,not_useful,Insufficient or Unclear Description
163,736,4,Informative caption but complex data requires interpretation Informative caption,neutral,Detailed and Informative
164,736,4,"The caption describes the graphs well,",useful,Clear and Good Quality
165,736,4,"caption capture the trend,",neutral,Observed Pattern Not Explained
166,828,4,Informative caption,neutral,Detailed and Informative
167,828,1,"The caption doesn't explain what the different colors mean, and doesn't explain the trend. ",not_useful,Insufficient or Unclear Description
168,828,3,caption does not explain missing labels,not_useful,Insufficient or Unclear Description
171,839,2,Fluctuations are not clearly mentioned in the caption,not_useful,Insufficient or Unclear Description
172,904,4,Detailed caption. the captions helps with the interpretation. the captions helps with the interpretation,useful,"""Detailed and Informative"""
174,904,3,caption does not summarize main trend,not_useful,Observed Pattern Not Explained
175,1006,4,Clear context with color-coded regions,useful,"""Clear and Good Quality"""
